[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
Osaka (Oosaka) (metropolitan area)	大阪府 <br> おおさかふ <br> [sound:k8-1109_大阪府.mp3]
大阪府	[sound:k8-1109_大阪府.mp3] <br> おおさかふ <br> Osaka (Oosaka) (metropolitan area)
[sound:s8-1109_医師は患者を診察している。.mp3]	<b>(診察)</b> <br> 医師は患者を診察している。<br> いしはかんじゃをしんさつしている。 <br> The doctor is examining the patient.			
<b>(診察)</b> <br> 医師は患者を診察している。	[sound:s8-1109_医師は患者を診察している。.mp3] <br> いしはかんじゃをしんさつしている。 <br> The doctor is examining the patient.			
[sound:k8-1110_来阪.mp3]	来阪 <br> らいはん <br> coming to Osaka
coming to Osaka	来阪 <br> らいはん <br> [sound:k8-1110_来阪.mp3]
来阪	[sound:k8-1110_来阪.mp3] <br> らいはん <br> coming to Osaka
[sound:s8-1110_警察署は犯罪の取り締まりを担当している。.mp3]	<b>(警察署)</b> <br> 警察署は犯罪の取り締まりを担当している。<br> けいさつしょははんざいのとりしまりをたんとうしている。 <br> The police station is responsible for law enforcement.			
<b>(警察署)</b> <br> 警察署は犯罪の取り締まりを担当している。	[sound:s8-1110_警察署は犯罪の取り締まりを担当している。.mp3] <br> けいさつしょははんざいのとりしまりをたんとうしている。 <br> The police station is responsible for law enforcement.			
[sound:k8-1111_大阪場所.mp3]	大阪場所 <br> おおさかばしょ <br> Osaka (March) sumo tournament
Osaka (March) sumo tournament	大阪場所 <br> おおさかばしょ <br> [sound:k8-1111_大阪場所.mp3]
大阪場所	[sound:k8-1111_大阪場所.mp3] <br> おおさかばしょ <br> Osaka (March) sumo tournament
[sound:s8-1111_彼女は机の上の書類を整理した。.mp3]	<b>(整)</b> <br> 彼女は机の上の書類を整理した。<br> かのじょはつくえのうえのしょるいをせいりした。 <br> She organized the documents on the desk.			
<b>(整)</b> <br> 彼女は机の上の書類を整理した。	[sound:s8-1111_彼女は机の上の書類を整理した。.mp3] <br> かのじょはつくえのうえのしょるいをせいりした。 <br> She organized the documents on the desk.			
[sound:k8-1112_帰.mp3]	帰 <br> (kun: かえ.る, かえ.す, おく.る, とつ.ぐ; on: キ) <br> homecoming, arrive at, lead to, result in
homecoming, arrive at, lead to, result in	帰 <br> (kun: かえ.る, かえ.す, おく.る, とつ.ぐ; on: キ) <br> [sound:k8-1112_帰.mp3]
帰	[sound:k8-1112_帰.mp3] <br> (kun: かえ.る, かえ.す, おく.る, とつ.ぐ; on: キ) <br> homecoming, arrive at, lead to, result in
[sound:s8-1112_二人の間でスケジュールを調整する必要があります。.mp3]	<b>(調整)</b> <br> 二人の間でスケジュールを調整する必要があります。<br> ふたりのあいだでスケジュールをちょうせいするひつようがあります。 <br> There needs to be coordination of schedules between the two.			
<b>(調整)</b> <br> 二人の間でスケジュールを調整する必要があります。	[sound:s8-1112_二人の間でスケジュールを調整する必要があります。.mp3] <br> ふたりのあいだでスケジュールをちょうせいするひつようがあります。 <br> There needs to be coordination of schedules between the two.			
[sound:k8-1113_帰り.mp3]	帰り <br> かえり <br> return, coming back
return, coming back	帰り <br> かえり <br> [sound:k8-1113_帰り.mp3]
帰り	[sound:k8-1113_帰り.mp3] <br> かえり <br> return, coming back
[sound:s8-1113_その車は整備が必要だ。.mp3]	<b>(整備)</b> <br> その車は整備が必要だ。<br> そのくるまはせいびがひつようだ。 <br> The car needs maintenance.			
<b>(整備)</b> <br> その車は整備が必要だ。	[sound:s8-1113_その車は整備が必要だ。.mp3] <br> そのくるまはせいびがひつようだ。 <br> The car needs maintenance.			
[sound:k8-1114_帰国.mp3]	帰国 <br> きこく <br> return to one's country
return to one's country	帰国 <br> きこく <br> [sound:k8-1114_帰国.mp3]
帰国	[sound:k8-1114_帰国.mp3] <br> きこく <br> return to one's country
[sound:s8-1114_彼女は整った考えを持っている。.mp3]	<b>(整った)</b> <br> 彼女は整った考えを持っている。<br> かのじょはととのったかんがえをもっている。 <br> She has a well-organized mind.			
<b>(整った)</b> <br> 彼女は整った考えを持っている。	[sound:s8-1114_彼女は整った考えを持っている。.mp3] <br> かのじょはととのったかんがえをもっている。 <br> She has a well-organized mind.			
[sound:k8-1115_復帰.mp3]	復帰 <br> ふっき <br> return, comeback, reinstatement; carriage return, CR
return, comeback, reinstatement; carriage return, CR	復帰 <br> ふっき <br> [sound:k8-1115_復帰.mp3]
復帰	[sound:k8-1115_復帰.mp3] <br> ふっき <br> return, comeback, reinstatement; carriage return, CR
[sound:s8-1115_彼は自分の思考を整理する必要がある。.mp3]	<b>(整理)</b> <br> 彼は自分の思考を整理する必要がある。<br> かれはじぶんのしこうをせいりするひつようがある。 <br> He needs to organize his thoughts.			
<b>(整理)</b> <br> 彼は自分の思考を整理する必要がある。	[sound:s8-1115_彼は自分の思考を整理する必要がある。.mp3] <br> かれはじぶんのしこうをせいりするひつようがある。 <br> He needs to organize his thoughts.			
[sound:k8-1116_帰還.mp3]	帰還 <br> きかん <br> repatriation, return; (electrical) feedback
repatriation, return; (electrical) feedback	帰還 <br> きかん <br> [sound:k8-1116_帰還.mp3]
帰還	[sound:k8-1116_帰還.mp3] <br> きかん <br> repatriation, return; (electrical) feedback
[sound:s8-1116_計画が整合していることを確認した。.mp3]	<b>(整合)</b> <br> 計画が整合していることを確認した。<br> けいかくがせいごうしていることをかくにんした。 <br> We confirmed that the plans are consistent.			
<b>(整合)</b> <br> 計画が整合していることを確認した。	[sound:s8-1116_計画が整合していることを確認した。.mp3] <br> けいかくがせいごうしていることをかくにんした。 <br> We confirmed that the plans are consistent.			
[sound:k8-1117_帰宅.mp3]	帰宅 <br> きたく <br> returning home
returning home	帰宅 <br> きたく <br> [sound:k8-1117_帰宅.mp3]
帰宅	[sound:k8-1117_帰宅.mp3] <br> きたく <br> returning home
[sound:s8-1117_彼は心臓の不整脈を抱えている。.mp3]	<b>(不整脈)</b> <br> 彼は心臓の不整脈を抱えている。<br> かれはしんぞうのふせいみゃくをかかえている。 <br> He has an irregular heartbeat.			
<b>(不整脈)</b> <br> 彼は心臓の不整脈を抱えている。	[sound:s8-1117_彼は心臓の不整脈を抱えている。.mp3] <br> かれはしんぞうのふせいみゃくをかかえている。 <br> He has an irregular heartbeat.			
[sound:k8-1118_帰属.mp3]	帰属 <br> きぞく <br> belonging to
belonging to	帰属 <br> きぞく <br> [sound:k8-1118_帰属.mp3]
帰属	[sound:k8-1118_帰属.mp3] <br> きぞく <br> belonging to
[sound:s8-1118_彼は整形外科の手術を受けました。.mp3]	<b>(整形外科)</b> <br> 彼は整形外科の手術を受けました。<br> かれはせいけいげかのしゅじゅつをうけました。 <br> He underwent orthopedic surgery.			
<b>(整形外科)</b> <br> 彼は整形外科の手術を受けました。	[sound:s8-1118_彼は整形外科の手術を受けました。.mp3] <br> かれはせいけいげかのしゅじゅつをうけました。 <br> He underwent orthopedic surgery.			
[sound:k8-1119_回帰.mp3]	回帰 <br> かいき <br> return (to), revolution, recurrence, recursion, comeback, revival
return (to), revolution, recurrence, recursion, comeback, revival	回帰 <br> かいき <br> [sound:k8-1119_回帰.mp3]
回帰	[sound:k8-1119_回帰.mp3] <br> かいき <br> return (to), revolution, recurrence, recursion, comeback, revival
[sound:s8-1119_計画が整いました。.mp3]	<b>(整う)</b> <br> 計画が整いました。<br> けいかくがととのいました。 <br> The plan is in place.			
<b>(整う)</b> <br> 計画が整いました。	[sound:s8-1119_計画が整いました。.mp3] <br> けいかくがととのいました。 <br> The plan is in place.			
[sound:k8-1120_里帰り.mp3]	里帰り <br> さとがえり <br> returning home, visiting one's parents, new bride's first visit to parents
returning home, visiting one's parents, new bride's first visit to parents	里帰り <br> さとがえり <br> [sound:k8-1120_里帰り.mp3]
里帰り	[sound:k8-1120_里帰り.mp3] <br> さとがえり <br> returning home, visiting one's parents, new bride's first visit to parents
[sound:s8-1120_彼女は整形手術を受けました。.mp3]	<b>(整形)</b> <br> 彼女は整形手術を受けました。<br> かのじょはせいけいしゅじゅつをうけました。 <br> She underwent plastic surgery.			
<b>(整形)</b> <br> 彼女は整形手術を受けました。	[sound:s8-1120_彼女は整形手術を受けました。.mp3] <br> かのじょはせいけいしゅじゅつをうけました。 <br> She underwent plastic surgery.			
[sound:k8-1121_帰省.mp3]	帰省 <br> きせい <br> homecoming, returning home
homecoming, returning home	帰省 <br> きせい <br> [sound:k8-1121_帰省.mp3]
帰省	[sound:k8-1121_帰省.mp3] <br> きせい <br> homecoming, returning home
[sound:s8-1121_その書類は整然としている。.mp3]	<b>(整然)</b> <br> その書類は整然としている。<br> そのしょるいはせいぜんとしている。 <br> The documents are well-organized.			
<b>(整然)</b> <br> その書類は整然としている。	[sound:s8-1121_その書類は整然としている。.mp3] <br> そのしょるいはせいぜんとしている。 <br> The documents are well-organized.			
[sound:k8-1122_帰途.mp3]	帰途 <br> きと <br> on the way back, returning
on the way back, returning	帰途 <br> きと <br> [sound:k8-1122_帰途.mp3]
帰途	[sound:k8-1122_帰途.mp3] <br> きと <br> on the way back, returning
[sound:s8-1122_段ボール箱を使って引っ越しました。.mp3]	<b>(段)</b> <br> 段ボール箱を使って引っ越しました。<br> だんぼーるばこをつかってひっこしました。 <br> We moved using cardboard boxes.			
<b>(段)</b> <br> 段ボール箱を使って引っ越しました。	[sound:s8-1122_段ボール箱を使って引っ越しました。.mp3] <br> だんぼーるばこをつかってひっこしました。 <br> We moved using cardboard boxes.			
[sound:k8-1123_針.mp3]	針 <br> (kun: はり; on: シン) <br> needle, pin, staple, stinger
needle, pin, staple, stinger	針 <br> (kun: はり; on: シン) <br> [sound:k8-1123_針.mp3]
針	[sound:k8-1123_針.mp3] <br> (kun: はり; on: シン) <br> needle, pin, staple, stinger
[sound:s8-1123_計画は段階的に進行している。.mp3]	<b>(段階)</b> <br> 計画は段階的に進行している。<br> けいかくはだんかいてきにしんこうしている。 <br> The plan is progressing step by step.			
<b>(段階)</b> <br> 計画は段階的に進行している。	[sound:s8-1123_計画は段階的に進行している。.mp3] <br> けいかくはだんかいてきにしんこうしている。 <br> The plan is progressing step by step.			
[sound:k8-1124_針.mp3]	針 <br> はり <br> needle, pin, hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches
needle, pin, hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches	針 <br> はり <br> [sound:k8-1124_針.mp3]
針	[sound:k8-1124_針.mp3] <br> はり <br> needle, pin, hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches
[sound:s8-1124_目的達成のためには、様々な手段を用いることができる。.mp3]	<b>(手段)</b> <br> 目的達成のためには、様々な手段を用いることができる。<br> もくてきたっせいのためには、さまざまなしゅだんをもちいることができる。 <br> Various means can be used to achieve the goal.			
<b>(手段)</b> <br> 目的達成のためには、様々な手段を用いることができる。	[sound:s8-1124_目的達成のためには、様々な手段を用いることができる。.mp3] <br> もくてきたっせいのためには、さまざまなしゅだんをもちいることができる。 <br> Various means can be used to achieve the goal.			
[sound:k8-1125_方針.mp3]	方針 <br> ほうしん <br> objective, plan, policy
objective, plan, policy	方針 <br> ほうしん <br> [sound:k8-1125_方針.mp3]
方針	[sound:k8-1125_方針.mp3] <br> ほうしん <br> objective, plan, policy
[sound:s8-1125_その品物は値段が高すぎる。.mp3]	<b>(段)</b> <br> その品物は値段が高すぎる。<br> そのしなものはねだんがたかすぎる。 <br> The price of the item is too high.			
<b>(段)</b> <br> その品物は値段が高すぎる。	[sound:s8-1125_その品物は値段が高すぎる。.mp3] <br> そのしなものはねだんがたかすぎる。 <br> The price of the item is too high.			
[sound:k8-1126_指針.mp3]	指針 <br> ししん <br> compass needle (cursor), guideline, pointer
compass needle (cursor), guideline, pointer	指針 <br> ししん <br> [sound:k8-1126_指針.mp3]
指針	[sound:k8-1126_指針.mp3] <br> ししん <br> compass needle (cursor), guideline, pointer
[sound:s8-1126_彼は一段と賢くなった。.mp3]	<b>(一段と)</b> <br> 彼は一段と賢くなった。<br> かれはいちだんとかしこくなった。 <br> He became even smarter.			
<b>(一段と)</b> <br> 彼は一段と賢くなった。	[sound:s8-1126_彼は一段と賢くなった。.mp3] <br> かれはいちだんとかしこくなった。 <br> He became even smarter.			
[sound:k8-1127_針金.mp3]	針金 <br> はりがね <br> wire
wire	針金 <br> はりがね <br> [sound:k8-1127_針金.mp3]
針金	[sound:k8-1127_針金.mp3] <br> はりがね <br> wire
[sound:s8-1127_段ボール箱は軽くて丈夫です。.mp3]	<b>(段ボール)</b> <br> 段ボール箱は軽くて丈夫です。<br> だんぼーるばこはかるくてじょうぶです。 <br> Cardboard boxes are lightweight and sturdy.			
<b>(段ボール)</b> <br> 段ボール箱は軽くて丈夫です。	[sound:s8-1127_段ボール箱は軽くて丈夫です。.mp3] <br> だんぼーるばこはかるくてじょうぶです。 <br> Cardboard boxes are lightweight and sturdy.			
[sound:k8-1128_針路.mp3]	針路 <br> しんろ <br> course, direction, compass bearing
course, direction, compass bearing	針路 <br> しんろ <br> [sound:k8-1128_針路.mp3]
針路	[sound:k8-1128_針路.mp3] <br> しんろ <br> course, direction, compass bearing
[sound:s8-1128_階段を上がるのが大変です。.mp3]	<b>(階段)</b> <br> 階段を上がるのが大変です。<br> かいだんをあがるのがたいへんです。 <br> It's hard to climb stairs.			
<b>(階段)</b> <br> 階段を上がるのが大変です。	[sound:s8-1128_階段を上がるのが大変です。.mp3] <br> かいだんをあがるのがたいへんです。 <br> It's hard to climb stairs.			
[sound:k8-1129_針葉樹.mp3]	針葉樹 <br> しんようじゅ <br> conifer, needle-leaved tree
conifer, needle-leaved tree	針葉樹 <br> しんようじゅ <br> [sound:k8-1129_針葉樹.mp3]
針葉樹	[sound:k8-1129_針葉樹.mp3] <br> しんようじゅ <br> conifer, needle-leaved tree
[sound:s8-1129_普段は忙しいが、週末はリラックスしています。.mp3]	<b>(普段)</b> <br> 普段は忙しいが、週末はリラックスしています。<br> ふだんはいそがしいが、しゅうまつはりらっくすしています。 <br> I'm usually busy, but I relax on weekends.			
<b>(普段)</b> <br> 普段は忙しいが、週末はリラックスしています。	[sound:s8-1129_普段は忙しいが、週末はリラックスしています。.mp3] <br> ふだんはいそがしいが、しゅうまつはりらっくすしています。 <br> I'm usually busy, but I relax on weekends.			
[sound:k8-1130_縫い針.mp3]	縫い針 <br> ぬいばり <br> sewing needle
sewing needle	縫い針 <br> ぬいばり <br> [sound:k8-1130_縫い針.mp3]
縫い針	[sound:k8-1130_縫い針.mp3] <br> ぬいばり <br> sewing needle
[sound:s8-1130_一段高い所から飛び降りた。.mp3]	<b>(一段)</b> <br> 一段高い所から飛び降りた。<br> いちだんたかいところからとびおりた。 <br> I jumped down from a slightly higher place.			
<b>(一段)</b> <br> 一段高い所から飛び降りた。	[sound:s8-1130_一段高い所から飛び降りた。.mp3] <br> いちだんたかいところからとびおりた。 <br> I jumped down from a slightly higher place.			
[sound:k8-1131_羅針盤.mp3]	羅針盤 <br> らしんばん <br> compass
compass	羅針盤 <br> らしんばん <br> [sound:k8-1131_羅針盤.mp3]
羅針盤	[sound:k8-1131_羅針盤.mp3] <br> らしんばん <br> compass
[sound:s8-1131_現段階ではまだ決定していない。.mp3]	<b>(現段階)</b> <br> 現段階ではまだ決定していない。<br> げんだんかいではまたけっていしていない。 <br> It's not decided yet at the current stage.			
<b>(現段階)</b> <br> 現段階ではまだ決定していない。	[sound:s8-1131_現段階ではまだ決定していない。.mp3] <br> げんだんかいではまたけっていしていない。 <br> It's not decided yet at the current stage.			
[sound:k8-1132_釣り針.mp3]	釣り針 <br> つりばり <br> fish hook
fish hook	釣り針 <br> つりばり <br> [sound:k8-1132_釣り針.mp3]
釣り針	[sound:k8-1132_釣り針.mp3] <br> つりばり <br> fish hook
[sound:s8-1132_彼は横を向いて歩いた。.mp3]	<b>(横)</b> <br> 彼は横を向いて歩いた。<br> かれはよこをむいてあるいた。 <br> He walked with his side facing.			
<b>(横)</b> <br> 彼は横を向いて歩いた。	[sound:s8-1132_彼は横を向いて歩いた。.mp3] <br> かれはよこをむいてあるいた。 <br> He walked with his side facing.			
[sound:k8-1133_かぎ針.mp3]	かぎ針 <br> かぎばり <br> hook, crochet needle
hook, crochet needle	かぎ針 <br> かぎばり <br> [sound:k8-1133_かぎ針.mp3]
かぎ針	[sound:k8-1133_かぎ針.mp3] <br> かぎばり <br> hook, crochet needle
[sound:s8-1133_彼の横顔は美しかった。.mp3]	<b>(横)</b> <br> 彼の横顔は美しかった。<br> かれのよこがおはうつくしかった。 <br> His profile was beautiful.			
<b>(横)</b> <br> 彼の横顔は美しかった。	[sound:s8-1133_彼の横顔は美しかった。.mp3] <br> かれのよこがおはうつくしかった。 <br> His profile was beautiful.			
[sound:k8-1134_専.mp3]	専 <br> (kun: もっぱ.ら; on: セン) <br> specialty, exclusive, mainly, solely
specialty, exclusive, mainly, solely	専 <br> (kun: もっぱ.ら; on: セン) <br> [sound:k8-1134_専.mp3]
専	[sound:k8-1134_専.mp3] <br> (kun: もっぱ.ら; on: セン) <br> specialty, exclusive, mainly, solely
[sound:s8-1134_彼は相撲の横綱です。.mp3]	<b>(横綱)</b> <br> 彼は相撲の横綱です。<br> かれはすもうのよこづなです。 <br> He is a sumo grand champion.			
<b>(横綱)</b> <br> 彼は相撲の横綱です。	[sound:s8-1134_彼は相撲の横綱です。.mp3] <br> かれはすもうのよこづなです。 <br> He is a sumo grand champion.			
[sound:k8-1135_専務.mp3]	専務 <br> せんむ <br> managing director, special duty, conductor
managing director, special duty, conductor	専務 <br> せんむ <br> [sound:k8-1135_専務.mp3]
専務	[sound:k8-1135_専務.mp3] <br> せんむ <br> managing director, special duty, conductor
[sound:s8-1135_経済は横ばいの状態です。.mp3]	<b>(横ばい)</b> <br> 経済は横ばいの状態です。<br> けいざいはよこばいのじょうたいです。 <br> The economy is in a stable state.			
<b>(横ばい)</b> <br> 経済は横ばいの状態です。	[sound:s8-1135_経済は横ばいの状態です。.mp3] <br> けいざいはよこばいのじょうたいです。 <br> The economy is in a stable state.			
[sound:k8-1136_専門.mp3]	専門 <br> せんもん <br> speciality, specialty, subject of study, expert
speciality, specialty, subject of study, expert	専門 <br> せんもん <br> [sound:k8-1136_専門.mp3]
専門	[sound:k8-1136_専門.mp3] <br> せんもん <br> speciality, specialty, subject of study, expert
[sound:s8-1136_彼らは大陸を横断した。.mp3]	<b>(横断)</b> <br> 彼らは大陸を横断した。<br> かれらはたいりくをおうだんした。 <br> They crossed the continent.			
<b>(横断)</b> <br> 彼らは大陸を横断した。	[sound:s8-1136_彼らは大陸を横断した。.mp3] <br> かれらはたいりくをおうだんした。 <br> They crossed the continent.			
[sound:k8-1137_専門家.mp3]	専門家 <br> せんもんか <br> specialist
specialist	専門家 <br> せんもんか <br> [sound:k8-1137_専門家.mp3]
専門家	[sound:k8-1137_専門家.mp3] <br> せんもんか <br> specialist
[sound:s8-1137_彼は公金を横領した。.mp3]	<b>(横領)</b> <br> 彼は公金を横領した。<br> かれはこうきんをおうりょうした。 <br> He embezzled public funds.			
<b>(横領)</b> <br> 彼は公金を横領した。	[sound:s8-1137_彼は公金を横領した。.mp3] <br> かれはこうきんをおうりょうした。 <br> He embezzled public funds.			
[sound:k8-1138_専攻.mp3]	専攻 <br> せんこう <br> major subject, special study
major subject, special study	専攻 <br> せんこう <br> [sound:k8-1138_専攻.mp3]
専攻	[sound:k8-1138_専攻.mp3] <br> せんこう <br> major subject, special study
[sound:s8-1138_そのプレーヤーは縦横に動き回った。.mp3]	<b>(縦横)</b> <br> そのプレーヤーは縦横に動き回った。<br> そのぷれーやーはじゅうおうにうごきまわった。 <br> The player moved around freely in all directions.			
<b>(縦横)</b> <br> そのプレーヤーは縦横に動き回った。	[sound:s8-1138_そのプレーヤーは縦横に動き回った。.mp3] <br> そのぷれーやーはじゅうおうにうごきまわった。 <br> The player moved around freely in all directions.			
[sound:k8-1139_専用.mp3]	専用 <br> せんよう <br> exclusive use, personal use, dedicated; private (e.g. network)
exclusive use, personal use, dedicated; private (e.g. network)	専用 <br> せんよう <br> [sound:k8-1139_専用.mp3]
専用	[sound:k8-1139_専用.mp3] <br> せんよう <br> exclusive use, personal use, dedicated; private (e.g. network)
[sound:s8-1139_彼は横目で私を見た。.mp3]	<b>(横目)</b> <br> 彼は横目で私を見た。<br> かれはよこめでわたしをみた。 <br> He glanced at me sideways.			
<b>(横目)</b> <br> 彼は横目で私を見た。	[sound:s8-1139_彼は横目で私を見た。.mp3] <br> かれはよこめでわたしをみた。 <br> He glanced at me sideways.			
[sound:k8-1140_専門学校.mp3]	専門学校 <br> せんもんがっこう, せんもんガッコウ, せんもんガッコ <br> vocational school, technical school
vocational school, technical school	専門学校 <br> せんもんがっこう, せんもんガッコウ, せんもんガッコ <br> [sound:k8-1140_専門学校.mp3]
専門学校	[sound:k8-1140_専門学校.mp3] <br> せんもんがっこう, せんもんガッコウ, せんもんガッコ <br> vocational school, technical school
[sound:s8-1140_彼は横手を使って仕事をしています。.mp3]	<b>(横手)</b> <br> 彼は横手を使って仕事をしています。<br> かれはよこてをつかってしごとをしています。 <br> He is working using his side job.			
<b>(横手)</b> <br> 彼は横手を使って仕事をしています。	[sound:s8-1140_彼は横手を使って仕事をしています。.mp3] <br> かれはよこてをつかってしごとをしています。 <br> He is working using his side job.			
[sound:k8-1141_専業.mp3]	専業 <br> せんぎょう <br> special occupation, principal occupation, specialty, monopoly
special occupation, principal occupation, specialty, monopoly	専業 <br> せんぎょう <br> [sound:k8-1141_専業.mp3]
専業	[sound:k8-1141_専業.mp3] <br> せんぎょう <br> special occupation, principal occupation, specialty, monopoly
[sound:s8-1141_スタジアムには応援のための横断幕が掲げられていた。.mp3]	<b>(横断幕)</b> <br> スタジアムには応援のための横断幕が掲げられていた。<br> すたじあむにはおうえんのためのおうだんまくがかかげられていた。 <br> There were banners hung for support at the stadium.			
<b>(横断幕)</b> <br> スタジアムには応援のための横断幕が掲げられていた。	[sound:s8-1141_スタジアムには応援のための横断幕が掲げられていた。.mp3] <br> すたじあむにはおうえんのためのおうだんまくがかかげられていた。 <br> There were banners hung for support at the stadium.			
[sound:k8-1142_専門店.mp3]	専門店 <br> せんもんてん <br> specialist shops
specialist shops	専門店 <br> せんもんてん <br> [sound:k8-1142_専門店.mp3]
専門店	[sound:k8-1142_専門店.mp3] <br> せんもんてん <br> specialist shops
[sound:s8-1142_彼の横暴な行動は許されない。.mp3]	<b>(横暴)</b> <br> 彼の横暴な行動は許されない。<br> かれのおうぼうなこうどうはゆるされない。 <br> His violent behavior is unacceptable.			
<b>(横暴)</b> <br> 彼の横暴な行動は許されない。	[sound:s8-1142_彼の横暴な行動は許されない。.mp3] <br> かれのおうぼうなこうどうはゆるされない。 <br> His violent behavior is unacceptable.			
[sound:k8-1143_専修.mp3]	専修 <br> せんしゅう <br> specialization, specialisation
specialization, specialisation	専修 <br> せんしゅう <br> [sound:k8-1143_専修.mp3]
専修	[sound:k8-1143_専修.mp3] <br> せんしゅう <br> specialization, specialisation
[sound:s8-1143_金融機関でお金を借りる。.mp3]	<b>(融)</b> <br> 金融機関でお金を借りる。<br> きんゆうきかんでおかねをかりる。 <br> Borrow money from a financial institution.			
<b>(融)</b> <br> 金融機関でお金を借りる。	[sound:s8-1143_金融機関でお金を借りる。.mp3] <br> きんゆうきかんでおかねをかりる。 <br> Borrow money from a financial institution.			
[sound:k8-1144_専任.mp3]	専任 <br> せんにん <br> full-time service
full-time service	専任 <br> せんにん <br> [sound:k8-1144_専任.mp3]
専任	[sound:k8-1144_専任.mp3] <br> せんにん <br> full-time service
[sound:s8-1144_金融危機が世界を揺るがした。.mp3]	<b>(金融)</b> <br> 金融危機が世界を揺るがした。<br> きんゆうききがせかいをゆるがした。 <br> The financial crisis shook the world.			
<b>(金融)</b> <br> 金融危機が世界を揺るがした。	[sound:s8-1144_金融危機が世界を揺るがした。.mp3] <br> きんゆうききがせかいをゆるがした。 <br> The financial crisis shook the world.			
[sound:k8-1145_推.mp3]	推 <br> (kun: お.す; on: スイ) <br> conjecture, infer, guess, suppose, support
conjecture, infer, guess, suppose, support	推 <br> (kun: お.す; on: スイ) <br> [sound:k8-1145_推.mp3]
推	[sound:k8-1145_推.mp3] <br> (kun: お.す; on: スイ) <br> conjecture, infer, guess, suppose, support
[sound:s8-1145_銀行から融資を受けた。.mp3]	<b>(融資)</b> <br> 銀行から融資を受けた。<br> ぎんこうからゆうしをうけた。 <br> I received a loan from the bank.			
<b>(融資)</b> <br> 銀行から融資を受けた。	[sound:s8-1145_銀行から融資を受けた。.mp3] <br> ぎんこうからゆうしをうけた。 <br> I received a loan from the bank.			
[sound:k8-1146_推進.mp3]	推進 <br> すいしん <br> propulsion, driving force; implementation, promotion (e.g. of a government policy)
propulsion, driving force; implementation, promotion (e.g. of a government policy)	推進 <br> すいしん <br> [sound:k8-1146_推進.mp3]
推進	[sound:k8-1146_推進.mp3] <br> すいしん <br> propulsion, driving force; implementation, promotion (e.g. of a government policy)
[sound:s8-1146_彼は金融機関で働いています。.mp3]	<b>(金融機関)</b> <br> 彼は金融機関で働いています。<br> かれはきんゆうきかんではたらいています。 <br> He works at a financial institution.			
<b>(金融機関)</b> <br> 彼は金融機関で働いています。	[sound:s8-1146_彼は金融機関で働いています。.mp3] <br> かれはきんゆうきかんではたらいています。 <br> He works at a financial institution.			
[sound:k8-1147_推薦.mp3]	推薦 <br> すいせん <br> recommendation
recommendation	推薦 <br> すいせん <br> [sound:k8-1147_推薦.mp3]
推薦	[sound:k8-1147_推薦.mp3] <br> すいせん <br> recommendation
[sound:s8-1147_株式市場は金融市場の一部です。.mp3]	<b>(金融市場)</b> <br> 株式市場は金融市場の一部です。<br> かぶしきしじょうはきんゆうしじょうのいちぶです。 <br> The stock market is part of the financial market.			
<b>(金融市場)</b> <br> 株式市場は金融市場の一部です。	[sound:s8-1147_株式市場は金融市場の一部です。.mp3] <br> かぶしきしじょうはきんゆうしじょうのいちぶです。 <br> The stock market is part of the financial market.			
[sound:k8-1148_推定.mp3]	推定 <br> すいてい <br> presumption, assumption, estimation
presumption, assumption, estimation	推定 <br> すいてい <br> [sound:k8-1148_推定.mp3]
推定	[sound:k8-1148_推定.mp3] <br> すいてい <br> presumption, assumption, estimation
[sound:s8-1148_彼らは対立を融和させることに成功した。.mp3]	<b>(融和)</b> <br> 彼らは対立を融和させることに成功した。<br> かれらはたいりつをゆうわさせることにせいこうした。 <br> They succeeded in reconciling their differences.			
<b>(融和)</b> <br> 彼らは対立を融和させることに成功した。	[sound:s8-1148_彼らは対立を融和させることに成功した。.mp3] <br> かれらはたいりつをゆうわさせることにせいこうした。 <br> They succeeded in reconciling their differences.			
[sound:k8-1149_推移.mp3]	推移 <br> すいい <br> transition, change
transition, change	推移 <br> すいい <br> [sound:k8-1149_推移.mp3]
推移	[sound:k8-1149_推移.mp3] <br> すいい <br> transition, change
[sound:s8-1149_住宅金融公庫は住宅ローンを提供しています。.mp3]	<b>(住宅金融公庫)</b> <br> 住宅金融公庫は住宅ローンを提供しています。<br> じゅうたくきんゆうこうこはじゅうたくろーんをていきょうしています。 <br> The Japan Housing Finance Agency provides home loans.			
<b>(住宅金融公庫)</b> <br> 住宅金融公庫は住宅ローンを提供しています。	[sound:s8-1149_住宅金融公庫は住宅ローンを提供しています。.mp3] <br> じゅうたくきんゆうこうこはじゅうたくろーんをていきょうしています。 <br> The Japan Housing Finance Agency provides home loans.			
[sound:k8-1150_推計.mp3]	推計 <br> すいけい <br> estimate, estimation
estimate, estimation	推計 <br> すいけい <br> [sound:k8-1150_推計.mp3]
推計	[sound:k8-1150_推計.mp3] <br> すいけい <br> estimate, estimation
