[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
維	[sound:k8-5936_維.mp3] <br> これ <br> this (indicating an item near the speaker, the action of the speaker, or the current topic); this person (usu. indicating someone in one's in-group); now; here; I (me); certainly
[sound:s8-5936_彼は友達に優しいです。.mp3]	<b>(友)</b> <br> 彼は友達に優しいです。<br> かれはともだちにやさしいです。 <br> He is kind to his friends.			
<b>(友)</b> <br> 彼は友達に優しいです。	[sound:s8-5936_彼は友達に優しいです。.mp3] <br> かれはともだちにやさしいです。 <br> He is kind to his friends.			
[sound:k8-5937_維持費.mp3]	維持費 <br> いじひ <br> maintenance costs
maintenance costs	維持費 <br> いじひ <br> [sound:k8-5937_維持費.mp3]
維持費	[sound:k8-5937_維持費.mp3] <br> いじひ <br> maintenance costs
[sound:s8-5937_彼女は多くの友人を持っています。.mp3]	<b>(友人)</b> <br> 彼女は多くの友人を持っています。<br> かのじょはおおくのゆうじんをもっています。 <br> She has many friends.			
<b>(友人)</b> <br> 彼女は多くの友人を持っています。	[sound:s8-5937_彼女は多くの友人を持っています。.mp3] <br> かのじょはおおくのゆうじんをもっています。 <br> She has many friends.			
[sound:k8-5938_原繊維.mp3]	原繊維 <br> げんせんい <br> raw fibers, raw fibres, minute fibers, minute fibres
raw fibers, raw fibres, minute fibers, minute fibres	原繊維 <br> げんせんい <br> [sound:k8-5938_原繊維.mp3]
原繊維	[sound:k8-5938_原繊維.mp3] <br> げんせんい <br> raw fibers, raw fibres, minute fibers, minute fibres
[sound:s8-5938_国と国の友好関係が重要です。.mp3]	<b>(友好)</b> <br> 国と国の友好関係が重要です。<br> くにとくにのゆうこうかんけいがじゅうようです。 <br> Friendly relations between countries are important.			
<b>(友好)</b> <br> 国と国の友好関係が重要です。	[sound:s8-5938_国と国の友好関係が重要です。.mp3] <br> くにとくにのゆうこうかんけいがじゅうようです。 <br> Friendly relations between countries are important.			
[sound:k8-5939_光学繊維.mp3]	光学繊維 <br> こうがくせんい <br> fiber optics, fibre optics
fiber optics, fibre optics	光学繊維 <br> こうがくせんい <br> [sound:k8-5939_光学繊維.mp3]
光学繊維	[sound:k8-5939_光学繊維.mp3] <br> こうがくせんい <br> fiber optics, fibre optics
[sound:s8-5939_彼は新しい学校でたくさんの友達を作りました。.mp3]	<b>(友達)</b> <br> 彼は新しい学校でたくさんの友達を作りました。<br> かれはあたらしいがっこうでたくさんのともだちをつくりました。 <br> He made many friends at his new school.			
<b>(友達)</b> <br> 彼は新しい学校でたくさんの友達を作りました。	[sound:s8-5939_彼は新しい学校でたくさんの友達を作りました。.mp3] <br> かれはあたらしいがっこうでたくさんのともだちをつくりました。 <br> He made many friends at his new school.			
[sound:k8-5940_食物繊維.mp3]	食物繊維 <br> しょくもつせんい <br> dietary fiber, dietary fibre
dietary fiber, dietary fibre	食物繊維 <br> しょくもつせんい <br> [sound:k8-5940_食物繊維.mp3]
食物繊維	[sound:k8-5940_食物繊維.mp3] <br> しょくもつせんい <br> dietary fiber, dietary fibre
[sound:s8-5940_住友グループは日本の大手企業の一つです。.mp3]	<b>(住友)</b> <br> 住友グループは日本の大手企業の一つです。<br> すみともグループはにほんのおおてきぎょうのひとつです。 <br> Sumitomo Group is one of Japan's major corporations.			
<b>(住友)</b> <br> 住友グループは日本の大手企業の一つです。	[sound:s8-5940_住友グループは日本の大手企業の一つです。.mp3] <br> すみともグループはにほんのおおてきぎょうのひとつです。 <br> Sumitomo Group is one of Japan's major corporations.			
[sound:k8-5941_富.mp3]	富 <br> (kun: と.む, とみ; on: フ, フウ) <br> wealth, enrich, abundant
wealth, enrich, abundant	富 <br> (kun: と.む, とみ; on: フ, フウ) <br> [sound:k8-5941_富.mp3]
富	[sound:k8-5941_富.mp3] <br> (kun: と.む, とみ; on: フ, フウ) <br> wealth, enrich, abundant
[sound:s8-5941_住友銀行は日本の大手銀行の一つです。.mp3]	<b>(住友銀行)</b> <br> 住友銀行は日本の大手銀行の一つです。<br> すみともぎんこうはにほんのおおてぎんこうのひとつです。 <br> Sumitomo Bank is one of Japan's major banks.			
<b>(住友銀行)</b> <br> 住友銀行は日本の大手銀行の一つです。	[sound:s8-5941_住友銀行は日本の大手銀行の一つです。.mp3] <br> すみともぎんこうはにほんのおおてぎんこうのひとつです。 <br> Sumitomo Bank is one of Japan's major banks.			
[sound:k8-5942_富.mp3]	富 <br> とみ <br> wealth, fortune
wealth, fortune	富 <br> とみ <br> [sound:k8-5942_富.mp3]
富	[sound:k8-5942_富.mp3] <br> とみ <br> wealth, fortune
[sound:s8-5942_彼らの友情は試練を乗り越えました。.mp3]	<b>(友情)</b> <br> 彼らの友情は試練を乗り越えました。<br> かれらのゆうじょうはしけんをのりこえました。 <br> Their friendship overcame the test.			
<b>(友情)</b> <br> 彼らの友情は試練を乗り越えました。	[sound:s8-5942_彼らの友情は試練を乗り越えました。.mp3] <br> かれらのゆうじょうはしけんをのりこえました。 <br> Their friendship overcame the test.			
[sound:k8-5943_豊富.mp3]	豊富 <br> ほうふ <br> abundance, wealth, plenty, bounty
abundance, wealth, plenty, bounty	豊富 <br> ほうふ <br> [sound:k8-5943_豊富.mp3]
豊富	[sound:k8-5943_豊富.mp3] <br> ほうふ <br> abundance, wealth, plenty, bounty
[sound:s8-5943_彼は血友病の患者です。.mp3]	<b>(血友病)</b> <br> 彼は血友病の患者です。<br> かれはけつゆうびょうのかんじゃです。 <br> He is a hemophiliac.			
<b>(血友病)</b> <br> 彼は血友病の患者です。	[sound:s8-5943_彼は血友病の患者です。.mp3] <br> かれはけつゆうびょうのかんじゃです。 <br> He is a hemophiliac.			
[sound:k8-5944_富士通.mp3]	富士通 <br> ふじつう <br> Fujitsu
Fujitsu	富士通 <br> ふじつう <br> [sound:k8-5944_富士通.mp3]
富士通	[sound:k8-5944_富士通.mp3] <br> ふじつう <br> Fujitsu
[sound:s8-5944_その団体は互いに友愛の精神を大切にしています。.mp3]	<b>(友愛)</b> <br> その団体は互いに友愛の精神を大切にしています。<br> そのだんたいはたがいにゆうあいのせいしんをたいせつにしています。 <br> The organization values the spirit of mutual love.			
<b>(友愛)</b> <br> その団体は互いに友愛の精神を大切にしています。	[sound:s8-5944_その団体は互いに友愛の精神を大切にしています。.mp3] <br> そのだんたいはたがいにゆうあいのせいしんをたいせつにしています。 <br> The organization values the spirit of mutual love.			
[sound:k8-5945_富士山.mp3]	富士山 <br> ふじさん <br> Mt Fuji
Mt Fuji	富士山 <br> ふじさん <br> [sound:k8-5945_富士山.mp3]
富士山	[sound:k8-5945_富士山.mp3] <br> ふじさん <br> Mt Fuji
[sound:s8-5945_彼は私の親友であり、いつも私を支えてくれます。.mp3]	<b>(親友)</b> <br> 彼は私の親友であり、いつも私を支えてくれます。<br> かれはわたしのしんゆうであり、いつもわたしをささえてくれます。 <br> He is my best friend and always supports me.			
<b>(親友)</b> <br> 彼は私の親友であり、いつも私を支えてくれます。	[sound:s8-5945_彼は私の親友であり、いつも私を支えてくれます。.mp3] <br> かれはわたしのしんゆうであり、いつもわたしをささえてくれます。 <br> He is my best friend and always supports me.			
[sound:k8-5946_貧富.mp3]	貧富 <br> ひんぷ <br> wealth and poverty, rich and poor
wealth and poverty, rich and poor	貧富 <br> ひんぷ <br> [sound:k8-5946_貧富.mp3]
貧富	[sound:k8-5946_貧富.mp3] <br> ひんぷ <br> wealth and poverty, rich and poor
[sound:s8-5946_彼は苦しんでいる人々を助けたいと思っています。.mp3]	<b>(苦)</b> <br> 彼は苦しんでいる人々を助けたいと思っています。<br> かれはくるしみているひとびとをたすけたいとおもっています。 <br> He wants to help people who are suffering.			
<b>(苦)</b> <br> 彼は苦しんでいる人々を助けたいと思っています。	[sound:s8-5946_彼は苦しんでいる人々を助けたいと思っています。.mp3] <br> かれはくるしみているひとびとをたすけたいとおもっています。 <br> He wants to help people who are suffering.			
[sound:k8-5947_富豪.mp3]	富豪 <br> ふごう <br> wealthy person, millionaire
wealthy person, millionaire	富豪 <br> ふごう <br> [sound:k8-5947_富豪.mp3]
富豪	[sound:k8-5947_富豪.mp3] <br> ふごう <br> wealthy person, millionaire
[sound:s8-5947_彼女は多くの苦労を経験してきました。.mp3]	<b>(苦労)</b> <br> 彼女は多くの苦労を経験してきました。<br> かのじょはおおくのくろうをけいけんしてきました。 <br> She has experienced a lot of hardship.			
<b>(苦労)</b> <br> 彼女は多くの苦労を経験してきました。	[sound:s8-5947_彼女は多くの苦労を経験してきました。.mp3] <br> かのじょはおおくのくろうをけいけんしてきました。 <br> She has experienced a lot of hardship.			
[sound:k8-5948_富裕.mp3]	富裕 <br> ふゆう <br> wealth, riches, opulence
wealth, riches, opulence	富裕 <br> ふゆう <br> [sound:k8-5948_富裕.mp3]
富裕	[sound:k8-5948_富裕.mp3] <br> ふゆう <br> wealth, riches, opulence
[sound:s8-5948_息子の病気を知って、彼女はとても苦しんでいた。.mp3]	<b>(苦しい)</b> <br> 息子の病気を知って、彼女はとても苦しんでいた。<br> むすこのびょうきをしって、かのじょはとてもくるしんでいた。 <br> She was very distressed when she found out about her son's illness.			
<b>(苦しい)</b> <br> 息子の病気を知って、彼女はとても苦しんでいた。	[sound:s8-5948_息子の病気を知って、彼女はとても苦しんでいた。.mp3] <br> むすこのびょうきをしって、かのじょはとてもくるしんでいた。 <br> She was very distressed when she found out about her son's illness.			
[sound:k8-5949_富む.mp3]	富む <br> とむ <br> to be rich, to become rich
to be rich, to become rich	富む <br> とむ <br> [sound:k8-5949_富む.mp3]
富む	[sound:k8-5949_富む.mp3] <br> とむ <br> to be rich, to become rich
[sound:s8-5949_彼は病気で苦しんでいます。.mp3]	<b>(苦しむ)</b> <br> 彼は病気で苦しんでいます。<br> かれはびょうきでくるしんでいます。 <br> He is suffering from illness.			
<b>(苦しむ)</b> <br> 彼は病気で苦しんでいます。	[sound:s8-5949_彼は病気で苦しんでいます。.mp3] <br> かれはびょうきでくるしんでいます。 <br> He is suffering from illness.			
[sound:k8-5950_富士川.mp3]	富士川 <br> ふじかわ <br> river in Shizuoka Prefecture
river in Shizuoka Prefecture	富士川 <br> ふじかわ <br> [sound:k8-5950_富士川.mp3]
富士川	[sound:k8-5950_富士川.mp3] <br> ふじかわ <br> river in Shizuoka Prefecture
[sound:s8-5950_彼の態度について多くの苦情が寄せられました。.mp3]	<b>(苦情)</b> <br> 彼の態度について多くの苦情が寄せられました。<br> かれのたいどについておおくのくじょうがよせられました。 <br> Many complaints were filed about his attitude.			
<b>(苦情)</b> <br> 彼の態度について多くの苦情が寄せられました。	[sound:s8-5950_彼の態度について多くの苦情が寄せられました。.mp3] <br> かれのたいどについておおくのくじょうがよせられました。 <br> Many complaints were filed about his attitude.			
[sound:k8-5951_富国強兵.mp3]	富国強兵 <br> ふこくきょうへい <br> wealth and military strength of a country
wealth and military strength of a country	富国強兵 <br> ふこくきょうへい <br> [sound:k8-5951_富国強兵.mp3]
富国強兵	[sound:k8-5951_富国強兵.mp3] <br> ふこくきょうへい <br> wealth and military strength of a country
[sound:s8-5951_彼は苦笑しながらその話を聞いた。.mp3]	<b>(苦笑)</b> <br> 彼は苦笑しながらその話を聞いた。<br> かれはくしょうしながらそのはなしをきいた。 <br> He listened to the story with a wry smile.			
<b>(苦笑)</b> <br> 彼は苦笑しながらその話を聞いた。	[sound:s8-5951_彼は苦笑しながらその話を聞いた。.mp3] <br> かれはくしょうしながらそのはなしをきいた。 <br> He listened to the story with a wry smile.			
[sound:k8-5952_浜.mp3]	浜 <br> (kun: はま; on: ヒン) <br> seacoast, beach, seashore
seacoast, beach, seashore	浜 <br> (kun: はま; on: ヒン) <br> [sound:k8-5952_浜.mp3]
浜	[sound:k8-5952_浜.mp3] <br> (kun: はま; on: ヒン) <br> seacoast, beach, seashore
[sound:s8-5952_彼はその事実によって苦しめられました。.mp3]	<b>(苦しめる)</b> <br> 彼はその事実によって苦しめられました。<br> かれはそのじじつによってくるしめられました。 <br> He was tormented by the fact.			
<b>(苦しめる)</b> <br> 彼はその事実によって苦しめられました。	[sound:s8-5952_彼はその事実によって苦しめられました。.mp3] <br> かれはそのじじつによってくるしめられました。 <br> He was tormented by the fact.			
[sound:k8-5953_浜.mp3]	浜 <br> はま <br> beach, seashore
beach, seashore	浜 <br> はま <br> [sound:k8-5953_浜.mp3]
浜	[sound:k8-5953_浜.mp3] <br> はま <br> beach, seashore
[sound:s8-5953_その事件は地域に大きな苦しいをもたらしました。.mp3]	<b>(苦しい)</b> <br> その事件は地域に大きな苦しいをもたらしました。<br> そのじけんはちいきにおおきなくるしいをもたらしました。 <br> The incident brought great suffering to the community.			
<b>(苦しい)</b> <br> その事件は地域に大きな苦しいをもたらしました。	[sound:s8-5953_その事件は地域に大きな苦しいをもたらしました。.mp3] <br> そのじけんはちいきにおおきなくるしいをもたらしました。 <br> The incident brought great suffering to the community.			
[sound:k8-5954_砂浜.mp3]	砂浜 <br> すなはま <br> sandy beach
sandy beach	砂浜 <br> すなはま <br> [sound:k8-5954_砂浜.mp3]
砂浜	[sound:k8-5954_砂浜.mp3] <br> すなはま <br> sandy beach
[sound:s8-5954_彼女の苦しみを理解することはできません。.mp3]	<b>(苦しみ)</b> <br> 彼女の苦しみを理解することはできません。<br> かのじょのくるしみをりかいすることはできません。 <br> I can't understand her suffering.			
<b>(苦しみ)</b> <br> 彼女の苦しみを理解することはできません。	[sound:s8-5954_彼女の苦しみを理解することはできません。.mp3] <br> かのじょのくるしみをりかいすることはできません。 <br> I can't understand her suffering.			
[sound:k8-5955_海浜.mp3]	海浜 <br> かいひん <br> seaside
seaside	海浜 <br> かいひん <br> [sound:k8-5955_海浜.mp3]
海浜	[sound:k8-5955_海浜.mp3] <br> かいひん <br> seaside
[sound:s8-5955_彼は自分の過ちによって苦しめられている。.mp3]	<b>(苦しめる)</b> <br> 彼は自分の過ちによって苦しめられている。<br> かれはじぶんのあやまちによってくるしめられている。 <br> He is tormented by his own mistakes.			
<b>(苦しめる)</b> <br> 彼は自分の過ちによって苦しめられている。	[sound:s8-5955_彼は自分の過ちによって苦しめられている。.mp3] <br> かれはじぶんのあやまちによってくるしめられている。 <br> He is tormented by his own mistakes.			
[sound:k8-5956_浜辺.mp3]	浜辺 <br> はまべ <br> beach, foreshore
beach, foreshore	浜辺 <br> はまべ <br> [sound:k8-5956_浜辺.mp3]
浜辺	[sound:k8-5956_浜辺.mp3] <br> はまべ <br> beach, foreshore
[sound:s8-5956_就任式が行われました。.mp3]	<b>(就)</b> <br> 就任式が行われました。<br> しゅうにんしきがおこなわれました。 <br> The inauguration ceremony was held.			
<b>(就)</b> <br> 就任式が行われました。	[sound:s8-5956_就任式が行われました。.mp3] <br> しゅうにんしきがおこなわれました。 <br> The inauguration ceremony was held.			
[sound:k8-5957_白浜.mp3]	白浜 <br> しらはま <br> white sandy beach
white sandy beach	白浜 <br> しらはま <br> [sound:k8-5957_白浜.mp3]
白浜	[sound:k8-5957_白浜.mp3] <br> しらはま <br> white sandy beach
[sound:s8-5957_しゅうにんしきがおこなわれました。.mp3]	<b>(就)</b> <br> しゅうにんしきがおこなわれました。<br> しゅうにんしきがおこなわれました。 <br> The inauguration ceremony was held.			
<b>(就)</b> <br> しゅうにんしきがおこなわれました。	[sound:s8-5957_しゅうにんしきがおこなわれました。.mp3] <br> しゅうにんしきがおこなわれました。 <br> The inauguration ceremony was held.			
[sound:k8-5958_浜のまさご.mp3]	浜のまさご <br> はまのまさご <br> grains of sand on the beach (i.e. something countless)
grains of sand on the beach (i.e. something countless)	浜のまさご <br> はまのまさご <br> [sound:k8-5958_浜のまさご.mp3]
浜のまさご	[sound:k8-5958_浜のまさご.mp3] <br> はまのまさご <br> grains of sand on the beach (i.e. something countless)
[sound:s8-5958_彼は新しい職務に就任しました。.mp3]	<b>(就任)</b> <br> 彼は新しい職務に就任しました。<br> かれはあたらしいしょくむにしゅうにんしました。 <br> He assumed a new position.			
<b>(就任)</b> <br> 彼は新しい職務に就任しました。	[sound:s8-5958_彼は新しい職務に就任しました。.mp3] <br> かれはあたらしいしょくむにしゅうにんしました。 <br> He assumed a new position.			
[sound:k8-5959_入り浜.mp3]	入り浜 <br> いりはま <br> salt farm
salt farm	入り浜 <br> いりはま <br> [sound:k8-5959_入り浜.mp3]
入り浜	[sound:k8-5959_入り浜.mp3] <br> いりはま <br> salt farm
[sound:s8-5959_かれはあたらしいしょくむにしゅうにんしました。.mp3]	<b>(就任)</b> <br> かれはあたらしいしょくむにしゅうにんしました。<br> かれはあたらしいしょくむにしゅうにんしました。 <br> He assumed a new position.			
<b>(就任)</b> <br> かれはあたらしいしょくむにしゅうにんしました。	[sound:s8-5959_かれはあたらしいしょくむにしゅうにんしました。.mp3] <br> かれはあたらしいしょくむにしゅうにんしました。 <br> He assumed a new position.			
[sound:k8-5960_浜風.mp3]	浜風 <br> はまかぜ <br> sea breeze, beach wind
sea breeze, beach wind	浜風 <br> はまかぜ <br> [sound:k8-5960_浜風.mp3]
浜風	[sound:k8-5960_浜風.mp3] <br> はまかぜ <br> sea breeze, beach wind
[sound:s8-5960_彼女は大手企業に就職しました。.mp3]	<b>(就職)</b> <br> 彼女は大手企業に就職しました。<br> かのじょはおおてきぎょうにしゅうしょくしました。 <br> She got a job at a major corporation.			
<b>(就職)</b> <br> 彼女は大手企業に就職しました。	[sound:s8-5960_彼女は大手企業に就職しました。.mp3] <br> かのじょはおおてきぎょうにしゅうしょくしました。 <br> She got a job at a major corporation.			
[sound:k8-5961_浜茄子.mp3]	浜茄子 <br> はまなす <br> sweet briar
sweet briar	浜茄子 <br> はまなす <br> [sound:k8-5961_浜茄子.mp3]
浜茄子	[sound:k8-5961_浜茄子.mp3] <br> はまなす <br> sweet briar
[sound:s8-5961_かのじょはおおてきぎょうにしゅうしょくしました。.mp3]	<b>(就職)</b> <br> かのじょはおおてきぎょうにしゅうしょくしました。<br> かのじょはおおてきぎょうにしゅうしょくしました。 <br> She got a job at a major corporation.			
<b>(就職)</b> <br> かのじょはおおてきぎょうにしゅうしょくしました。	[sound:s8-5961_かのじょはおおてきぎょうにしゅうしょくしました。.mp3] <br> かのじょはおおてきぎょうにしゅうしょくしました。 <br> She got a job at a major corporation.			
[sound:k8-5962_浜焼き.mp3]	浜焼き <br> はまやき <br> freshly caught seafood broiled at a beach
freshly caught seafood broiled at a beach	浜焼き <br> はまやき <br> [sound:k8-5962_浜焼き.mp3]
浜焼き	[sound:k8-5962_浜焼き.mp3] <br> はまやき <br> freshly caught seafood broiled at a beach
[sound:s8-5962_父は家族を養うために働いています。.mp3]	<b>(就いて)</b> <br> 父は家族を養うために働いています。<br> ちちはかぞくをやしなうためにはたらいています。 <br> My father works to support the family.			
<b>(就いて)</b> <br> 父は家族を養うために働いています。	[sound:s8-5962_父は家族を養うために働いています。.mp3] <br> ちちはかぞくをやしなうためにはたらいています。 <br> My father works to support the family.			
[sound:k8-5963_父.mp3]	父 <br> (kun: ちち; on: フ) <br> father
father	父 <br> (kun: ちち; on: フ) <br> [sound:k8-5963_父.mp3]
父	[sound:k8-5963_父.mp3] <br> (kun: ちち; on: フ) <br> father
[sound:s8-5963_ちちはかぞくをやしなうためにはたらいています。.mp3]	<b>(就いて)</b> <br> ちちはかぞくをやしなうためにはたらいています。<br> ちちはかぞくをやしなうためにはたらいています。 <br> My father works to support the family.			
<b>(就いて)</b> <br> ちちはかぞくをやしなうためにはたらいています。	[sound:s8-5963_ちちはかぞくをやしなうためにはたらいています。.mp3] <br> ちちはかぞくをやしなうためにはたらいています。 <br> My father works to support the family.			
[sound:k8-5964_父.mp3]	父 <br> ちち <br> father
father	父 <br> ちち <br> [sound:k8-5964_父.mp3]
父	[sound:k8-5964_父.mp3] <br> ちち <br> father
[sound:s8-5964_彼は障害を持っているが、就労している。.mp3]	<b>(就労)</b> <br> 彼は障害を持っているが、就労している。<br> かれはしょうがいをもっているが、しゅうろうしている。 <br> He has a disability but is employed.			
<b>(就労)</b> <br> 彼は障害を持っているが、就労している。	[sound:s8-5964_彼は障害を持っているが、就労している。.mp3] <br> かれはしょうがいをもっているが、しゅうろうしている。 <br> He has a disability but is employed.			
[sound:k8-5965_お父さん.mp3]	お父さん <br> おとうさん <br> father
father	お父さん <br> おとうさん <br> [sound:k8-5965_お父さん.mp3]
お父さん	[sound:k8-5965_お父さん.mp3] <br> おとうさん <br> father
[sound:s8-5965_かれはしょうがいをもっているが、しゅうろうしている。.mp3]	<b>(就労)</b> <br> かれはしょうがいをもっているが、しゅうろうしている。<br> かれはしょうがいをもっているが、しゅうろうしている。 <br> He has a disability but is employed.			
<b>(就労)</b> <br> かれはしょうがいをもっているが、しゅうろうしている。	[sound:s8-5965_かれはしょうがいをもっているが、しゅうろうしている。.mp3] <br> かれはしょうがいをもっているが、しゅうろうしている。 <br> He has a disability but is employed.			
[sound:k8-5966_父親.mp3]	父親 <br> ちちおや <br> father
father	父親 <br> ちちおや <br> [sound:k8-5966_父親.mp3]
父親	[sound:k8-5966_父親.mp3] <br> ちちおや <br> father
[sound:s8-5966_彼は毎日9時から5時まで就業しています。.mp3]	<b>(就業)</b> <br> 彼は毎日9時から5時まで就業しています。<br> かれはまいにち9じから5じまでしゅうぎょうしています。 <br> He works from 9 to 5 every day.			
<b>(就業)</b> <br> 彼は毎日9時から5時まで就業しています。	[sound:s8-5966_彼は毎日9時から5時まで就業しています。.mp3] <br> かれはまいにち9じから5じまでしゅうぎょうしています。 <br> He works from 9 to 5 every day.			
[sound:k8-5967_父母.mp3]	父母 <br> ふぼ, ちちはは <br> father and mother, parents
father and mother, parents	父母 <br> ふぼ, ちちはは <br> [sound:k8-5967_父母.mp3]
父母	[sound:k8-5967_父母.mp3] <br> ふぼ, ちちはは <br> father and mother, parents
[sound:s8-5967_かれはまいにち9じから5じまでしゅうぎょうしています。.mp3]	<b>(就業)</b> <br> かれはまいにち9じから5じまでしゅうぎょうしています。<br> かれはまいにち9じから5じまでしゅうぎょうしています。 <br> He works from 9 to 5 every day.			
<b>(就業)</b> <br> かれはまいにち9じから5じまでしゅうぎょうしています。	[sound:s8-5967_かれはまいにち9じから5じまでしゅうぎょうしています。.mp3] <br> かれはまいにち9じから5じまでしゅうぎょうしています。 <br> He works from 9 to 5 every day.			
[sound:k8-5968_祖父.mp3]	祖父 <br> そふ, じじ, じい, おおじ, おじ, そぶ <br> grandfather; old man; kyogen mask used for the role of an old man
grandfather; old man; kyogen mask used for the role of an old man	祖父 <br> そふ, じじ, じい, おおじ, おじ, そぶ <br> [sound:k8-5968_祖父.mp3]
祖父	[sound:k8-5968_祖父.mp3] <br> そふ, じじ, じい, おおじ, おじ, そぶ <br> grandfather; old man; kyogen mask used for the role of an old man
[sound:s8-5968_彼は今週から大学に就学します。.mp3]	<b>(就学)</b> <br> 彼は今週から大学に就学します。<br> かれはこんしゅうからだいがくにしゅうがくします。 <br> He starts attending university this week.			
<b>(就学)</b> <br> 彼は今週から大学に就学します。	[sound:s8-5968_彼は今週から大学に就学します。.mp3] <br> かれはこんしゅうからだいがくにしゅうがくします。 <br> He starts attending university this week.			
[sound:k8-5969_義父.mp3]	義父 <br> ぎふ <br> father-in-law, foster father, stepfather
father-in-law, foster father, stepfather	義父 <br> ぎふ <br> [sound:k8-5969_義父.mp3]
義父	[sound:k8-5969_義父.mp3] <br> ぎふ <br> father-in-law, foster father, stepfather
[sound:s8-5969_かれはこんしゅうからだいがくにしゅうがくします。.mp3]	<b>(就学)</b> <br> かれはこんしゅうからだいがくにしゅうがくします。<br> かれはこんしゅうからだいがくにしゅうがくします。 <br> He starts attending university this week.			
<b>(就学)</b> <br> かれはこんしゅうからだいがくにしゅうがくします。	[sound:s8-5969_かれはこんしゅうからだいがくにしゅうがくします。.mp3] <br> かれはこんしゅうからだいがくにしゅうがくします。 <br> He starts attending university this week.			
[sound:k8-5970_神父.mp3]	神父 <br> しんぷ <br> Catholic priest, abbe
Catholic priest, abbe	神父 <br> しんぷ <br> [sound:k8-5970_神父.mp3]
神父	[sound:k8-5970_神父.mp3] <br> しんぷ <br> Catholic priest, abbe
[sound:s8-5970_母は早く就寝することを勧めています。.mp3]	<b>(就寝)</b> <br> 母は早く就寝することを勧めています。<br> ははははやくしゅうしんすることをすすめています。 <br> My mother recommends going to bed early.			
<b>(就寝)</b> <br> 母は早く就寝することを勧めています。	[sound:s8-5970_母は早く就寝することを勧めています。.mp3] <br> ははははやくしゅうしんすることをすすめています。 <br> My mother recommends going to bed early.			
[sound:k8-5971_祖父母.mp3]	祖父母 <br> そふぼ <br> grandparents
grandparents	祖父母 <br> そふぼ <br> [sound:k8-5971_祖父母.mp3]
祖父母	[sound:k8-5971_祖父母.mp3] <br> そふぼ <br> grandparents
[sound:s8-5971_ははははやくしゅうしんすることをすすめています。.mp3]	<b>(就寝)</b> <br> ははははやくしゅうしんすることをすすめています。<br> ははははやくしゅうしんすることをすすめています。 <br> My mother recommends going to bed early.			
<b>(就寝)</b> <br> ははははやくしゅうしんすることをすすめています。	[sound:s8-5971_ははははやくしゅうしんすることをすすめています。.mp3] <br> ははははやくしゅうしんすることをすすめています。 <br> My mother recommends going to bed early.			
[sound:k8-5972_叔父.mp3]	叔父 <br> おじ, しゅくふ <br> uncle (younger than one's parent)
uncle (younger than one's parent)	叔父 <br> おじ, しゅくふ <br> [sound:k8-5972_叔父.mp3]
叔父	[sound:k8-5972_叔父.mp3] <br> おじ, しゅくふ <br> uncle (younger than one's parent)
[sound:s8-5972_彼の去就について心配しています。.mp3]	<b>(去就)</b> <br> 彼の去就について心配しています。<br> かれのきょうしゅうについてしんぱいしています。 <br> I'm worried about his whereabouts.			
<b>(去就)</b> <br> 彼の去就について心配しています。	[sound:s8-5972_彼の去就について心配しています。.mp3] <br> かれのきょうしゅうについてしんぱいしています。 <br> I'm worried about his whereabouts.			
[sound:k8-5973_父子.mp3]	父子 <br> ふし <br> father and child (son)
father and child (son)	父子 <br> ふし <br> [sound:k8-5973_父子.mp3]
父子	[sound:k8-5973_父子.mp3] <br> ふし <br> father and child (son)
[sound:s8-5973_かれのきょうしゅうについてしんぱいしています。.mp3]	<b>(去就)</b> <br> かれのきょうしゅうについてしんぱいしています。<br> かれのきょうしゅうについてしんぱいしています。 <br> I'm worried about his whereabouts.			
<b>(去就)</b> <br> かれのきょうしゅうについてしんぱいしています。	[sound:s8-5973_かれのきょうしゅうについてしんぱいしています。.mp3] <br> かれのきょうしゅうについてしんぱいしています。 <br> I'm worried about his whereabouts.			
[sound:k8-5974_遺.mp3]	遺 <br> (kun: のこ.す; on: イ, ユイ) <br> bequeath, leave behind, reserve
bequeath, leave behind, reserve	遺 <br> (kun: のこ.す; on: イ, ユイ) <br> [sound:k8-5974_遺.mp3]
遺	[sound:k8-5974_遺.mp3] <br> (kun: のこ.す; on: イ, ユイ) <br> bequeath, leave behind, reserve
[sound:s8-5974_新しい船が就航しました。.mp3]	<b>(就航)</b> <br> 新しい船が就航しました。<br> あたらしいふねがしゅうこうしました。 <br> The new ship has started operating.			
<b>(就航)</b> <br> 新しい船が就航しました。	[sound:s8-5974_新しい船が就航しました。.mp3] <br> あたらしいふねがしゅうこうしました。 <br> The new ship has started operating.			
[sound:k8-5975_遺族.mp3]	遺族 <br> いぞく <br> bereaved family
bereaved family	遺族 <br> いぞく <br> [sound:k8-5975_遺族.mp3]
遺族	[sound:k8-5975_遺族.mp3] <br> いぞく <br> bereaved family
[sound:s8-5975_あたらしいふねがしゅうこうしました。.mp3]	<b>(就航)</b> <br> あたらしいふねがしゅうこうしました。<br> あたらしいふねがしゅうこうしました。 <br> The new ship has started operating.			
<b>(就航)</b> <br> あたらしいふねがしゅうこうしました。	[sound:s8-5975_あたらしいふねがしゅうこうしました。.mp3] <br> あたらしいふねがしゅうこうしました。 <br> The new ship has started operating.			
