[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
若松	[sound:k8-3913_若松.mp3] <br> わかまつ <br> young pine, New Year's symbolic pine decoration
[sound:s8-3913_最低限の条件を満たしていれば受け入れます。.mp3]	<b>(最低限)</b> <br> 最低限の条件を満たしていれば受け入れます。<br> さいていげんのじょうけんをみたしていればうけいれます。 <br> We'll accept it as long as it meets the minimum requirements.			
<b>(最低限)</b> <br> 最低限の条件を満たしていれば受け入れます。	[sound:s8-3913_最低限の条件を満たしていれば受け入れます。.mp3] <br> さいていげんのじょうけんをみたしていればうけいれます。 <br> We'll accept it as long as it meets the minimum requirements.			
[sound:k8-3914_若葉.mp3]	若葉 <br> わかば, どんよう <br> new leaves, fresh verdure
new leaves, fresh verdure	若葉 <br> わかば, どんよう <br> [sound:k8-3914_若葉.mp3]
若葉	[sound:k8-3914_若葉.mp3] <br> わかば, どんよう <br> new leaves, fresh verdure
[sound:s8-3914_この地域の教育水準は低いです。.mp3]	<b>(低水準)</b> <br> この地域の教育水準は低いです。<br> このちいきのきょういくすいじゅんはひくいです。 <br> The educational level in this area is low.			
<b>(低水準)</b> <br> この地域の教育水準は低いです。	[sound:s8-3914_この地域の教育水準は低いです。.mp3] <br> このちいきのきょういくすいじゅんはひくいです。 <br> The educational level in this area is low.			
[sound:k8-3915_若い.mp3]	若い <br> わかい <br> young
young	若い <br> わかい <br> [sound:k8-3915_若い.mp3]
若い	[sound:k8-3915_若い.mp3] <br> わかい <br> young
[sound:s8-3915_経済は低調な状況にあります。.mp3]	<b>(低調)</b> <br> 経済は低調な状況にあります。<br> けいざいはていちょうなじょうきょうにあります。 <br> The economy is in a sluggish state.			
<b>(低調)</b> <br> 経済は低調な状況にあります。	[sound:s8-3915_経済は低調な状況にあります。.mp3] <br> けいざいはていちょうなじょうきょうにあります。 <br> The economy is in a sluggish state.			
[sound:k8-3916_老若.mp3]	老若 <br> ろうじゃく, ろうにゃく <br> young and old, all ages
young and old, all ages	老若 <br> ろうじゃく, ろうにゃく <br> [sound:k8-3916_老若.mp3]
老若	[sound:k8-3916_老若.mp3] <br> ろうじゃく, ろうにゃく <br> young and old, all ages
[sound:s8-3916_低気圧が近づいています。.mp3]	<b>(低気圧)</b> <br> 低気圧が近づいています。<br> ていきあつがちかづいています。 <br> A low-pressure system is approaching.			
<b>(低気圧)</b> <br> 低気圧が近づいています。	[sound:s8-3916_低気圧が近づいています。.mp3] <br> ていきあつがちかづいています。 <br> A low-pressure system is approaching.			
[sound:k8-3917_脳.mp3]	脳 <br> (kun: のうずる; on: ノウ, ドウ) <br> brain, memory
brain, memory	脳 <br> (kun: のうずる; on: ノウ, ドウ) <br> [sound:k8-3917_脳.mp3]
脳	[sound:k8-3917_脳.mp3] <br> (kun: のうずる; on: ノウ, ドウ) <br> brain, memory
[sound:s8-3917_毎日が新しいチャレンジの始まりです。.mp3]	<b>(毎)</b> <br> 毎日が新しいチャレンジの始まりです。<br> まいにちがあたらしいちゃれんじのはじまりです。 <br> Every day is the beginning of a new challenge.			
<b>(毎)</b> <br> 毎日が新しいチャレンジの始まりです。	[sound:s8-3917_毎日が新しいチャレンジの始まりです。.mp3] <br> まいにちがあたらしいちゃれんじのはじまりです。 <br> Every day is the beginning of a new challenge.			
[sound:k8-3918_脳.mp3]	脳 <br> のう <br> brain, memory
brain, memory	脳 <br> のう <br> [sound:k8-3918_脳.mp3]
脳	[sound:k8-3918_脳.mp3] <br> のう <br> brain, memory
[sound:s8-3918_彼は毎日ジョギングをしています。.mp3]	<b>(毎日)</b> <br> 彼は毎日ジョギングをしています。<br> かれはまいにちじょぎんぐをしています。 <br> He goes jogging every day.			
<b>(毎日)</b> <br> 彼は毎日ジョギングをしています。	[sound:s8-3918_彼は毎日ジョギングをしています。.mp3] <br> かれはまいにちじょぎんぐをしています。 <br> He goes jogging every day.			
[sound:k8-3919_首脳.mp3]	首脳 <br> しゅのう <br> head, brains, leading spirit
head, brains, leading spirit	首脳 <br> しゅのう <br> [sound:k8-3919_首脳.mp3]
首脳	[sound:k8-3919_首脳.mp3] <br> しゅのう <br> head, brains, leading spirit
[sound:s8-3919_毎年、家族で旅行に行きます。.mp3]	<b>(毎年)</b> <br> 毎年、家族で旅行に行きます。<br> まいとし、かぞくでりょこうにいきます。 <br> We go on a trip with our family every year.			
<b>(毎年)</b> <br> 毎年、家族で旅行に行きます。	[sound:s8-3919_毎年、家族で旅行に行きます。.mp3] <br> まいとし、かぞくでりょこうにいきます。 <br> We go on a trip with our family every year.			
[sound:k8-3920_脳死.mp3]	脳死 <br> のうし <br> brain death
brain death	脳死 <br> のうし <br> [sound:k8-3920_脳死.mp3]
脳死	[sound:k8-3920_脳死.mp3] <br> のうし <br> brain death
[sound:s8-3920_彼女は毎週水曜日にピアノのレッスンを受けています。.mp3]	<b>(毎週)</b> <br> 彼女は毎週水曜日にピアノのレッスンを受けています。<br> かのじょはまいしゅうすいようびにぴあののれっすんをうけています。 <br> She takes piano lessons every Wednesday.			
<b>(毎週)</b> <br> 彼女は毎週水曜日にピアノのレッスンを受けています。	[sound:s8-3920_彼女は毎週水曜日にピアノのレッスンを受けています。.mp3] <br> かのじょはまいしゅうすいようびにぴあののれっすんをうけています。 <br> She takes piano lessons every Wednesday.			
[sound:k8-3921_頭脳.mp3]	頭脳 <br> ずのう <br> head, brains, intellect
head, brains, intellect	頭脳 <br> ずのう <br> [sound:k8-3921_頭脳.mp3]
頭脳	[sound:k8-3921_頭脳.mp3] <br> ずのう <br> head, brains, intellect
[sound:s8-3921_彼は毎月給料を受け取ります。.mp3]	<b>(毎月)</b> <br> 彼は毎月給料を受け取ります。<br> かれはまいつききゅうりょうをうけとります。 <br> He receives his salary every month.			
<b>(毎月)</b> <br> 彼は毎月給料を受け取ります。	[sound:s8-3921_彼は毎月給料を受け取ります。.mp3] <br> かれはまいつききゅうりょうをうけとります。 <br> He receives his salary every month.			
[sound:k8-3922_脳卒中.mp3]	脳卒中 <br> のうそっちゅう <br> stroke, cerebral haemorrhage, cerebral hemorrhage
stroke, cerebral haemorrhage, cerebral hemorrhage	脳卒中 <br> のうそっちゅう <br> [sound:k8-3922_脳卒中.mp3]
脳卒中	[sound:k8-3922_脳卒中.mp3] <br> のうそっちゅう <br> stroke, cerebral haemorrhage, cerebral hemorrhage
[sound:s8-3922_彼は毎回同じ間違いを繰り返す。.mp3]	<b>(毎回)</b> <br> 彼は毎回同じ間違いを繰り返す。<br> かれはまいかいおなじまちがいをくりかえす。 <br> He repeats the same mistake every time.			
<b>(毎回)</b> <br> 彼は毎回同じ間違いを繰り返す。	[sound:s8-3922_彼は毎回同じ間違いを繰り返す。.mp3] <br> かれはまいかいおなじまちがいをくりかえす。 <br> He repeats the same mistake every time.			
[sound:k8-3923_脳裏.mp3]	脳裏 <br> のうり <br> one's mind
one's mind	脳裏 <br> のうり <br> [sound:k8-3923_脳裏.mp3]
脳裏	[sound:k8-3923_脳裏.mp3] <br> のうり <br> one's mind
[sound:s8-3923_毎朝ジョギングをしています。.mp3]	<b>(毎朝)</b> <br> 毎朝ジョギングをしています。<br> まいあさじょぎんぐをしています。 <br> I go jogging every morning.			
<b>(毎朝)</b> <br> 毎朝ジョギングをしています。	[sound:s8-3923_毎朝ジョギングをしています。.mp3] <br> まいあさじょぎんぐをしています。 <br> I go jogging every morning.			
[sound:k8-3924_脳出血.mp3]	脳出血 <br> のうしゅっけつ <br> cerebral hemorrhage, cerebral haemorrhage
cerebral hemorrhage, cerebral haemorrhage	脳出血 <br> のうしゅっけつ <br> [sound:k8-3924_脳出血.mp3]
脳出血	[sound:k8-3924_脳出血.mp3] <br> のうしゅっけつ <br> cerebral hemorrhage, cerebral haemorrhage
[sound:s8-3924_彼は毎晩10時に寝ます。.mp3]	<b>(毎晩)</b> <br> 彼は毎晩10時に寝ます。<br> かれはまいばんじゅうじにねます。 <br> He goes to bed at 10 every night.			
<b>(毎晩)</b> <br> 彼は毎晩10時に寝ます。	[sound:s8-3924_彼は毎晩10時に寝ます。.mp3] <br> かれはまいばんじゅうじにねます。 <br> He goes to bed at 10 every night.			
[sound:k8-3925_脳波.mp3]	脳波 <br> のうは <br> brain waves
brain waves	脳波 <br> のうは <br> [sound:k8-3925_脳波.mp3]
脳波	[sound:k8-3925_脳波.mp3] <br> のうは <br> brain waves
[sound:s8-3925_インターネットは毎秒数百万のデータを処理しています。.mp3]	<b>(毎秒)</b> <br> インターネットは毎秒数百万のデータを処理しています。<br> いんたーねっとはまいびょうすうひゃくまんのでーたをしょりしています。 <br> The internet processes millions of data every second.			
<b>(毎秒)</b> <br> インターネットは毎秒数百万のデータを処理しています。	[sound:s8-3925_インターネットは毎秒数百万のデータを処理しています。.mp3] <br> いんたーねっとはまいびょうすうひゃくまんのでーたをしょりしています。 <br> The internet processes millions of data every second.			
[sound:k8-3926_首脳部.mp3]	首脳部 <br> しゅのうぶ <br> executives, top management, governing body
executives, top management, governing body	首脳部 <br> しゅのうぶ <br> [sound:k8-3926_首脳部.mp3]
首脳部	[sound:k8-3926_首脳部.mp3] <br> しゅのうぶ <br> executives, top management, governing body
[sound:s8-3926_この工場は毎分100台の製品を生産しています。.mp3]	<b>(毎分)</b> <br> この工場は毎分100台の製品を生産しています。<br> このこうじょうはまいぶんひゃくだいのせいひんをせいさんしています。 <br> This factory produces 100 units of products every minute.			
<b>(毎分)</b> <br> この工場は毎分100台の製品を生産しています。	[sound:s8-3926_この工場は毎分100台の製品を生産しています。.mp3] <br> このこうじょうはまいぶんひゃくだいのせいひんをせいさんしています。 <br> This factory produces 100 units of products every minute.			
[sound:k8-3927_脳神経.mp3]	脳神経 <br> のうしんけい <br> cranial nerves
cranial nerves	脳神経 <br> のうしんけい <br> [sound:k8-3927_脳神経.mp3]
脳神経	[sound:k8-3927_脳神経.mp3] <br> のうしんけい <br> cranial nerves
[sound:s8-3927_彼女は毎度同じ質問をします。.mp3]	<b>(毎度)</b> <br> 彼女は毎度同じ質問をします。<br> かのじょはまいどおなじしつもんをします。 <br> She asks the same question every time.			
<b>(毎度)</b> <br> 彼女は毎度同じ質問をします。	[sound:s8-3927_彼女は毎度同じ質問をします。.mp3] <br> かのじょはまいどおなじしつもんをします。 <br> She asks the same question every time.			
[sound:k8-3928_極.mp3]	極 <br> (kun: きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる; on: キョク, ゴク) <br> poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48
poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48	極 <br> (kun: きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる; on: キョク, ゴク) <br> [sound:k8-3928_極.mp3]
極	[sound:k8-3928_極.mp3] <br> (kun: きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる; on: キョク, ゴク) <br> poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48
[sound:s8-3928_医学の知識が必要です。.mp3]	<b>(医)</b> <br> 医学の知識が必要です。<br> いがくのちしきがひつようです。 <br> Medical knowledge is necessary.			
<b>(医)</b> <br> 医学の知識が必要です。	[sound:s8-3928_医学の知識が必要です。.mp3] <br> いがくのちしきがひつようです。 <br> Medical knowledge is necessary.			
[sound:k8-3929_積極的.mp3]	積極的 <br> せっきょくてき <br> assertive, positive, active, proactive
assertive, positive, active, proactive	積極的 <br> せっきょくてき <br> [sound:k8-3929_積極的.mp3]
積極的	[sound:k8-3929_積極的.mp3] <br> せっきょくてき <br> assertive, positive, active, proactive
[sound:s8-3929_医療費が高騰しています。.mp3]	<b>(医療)</b> <br> 医療費が高騰しています。<br> いりょうひがこうとうしています。 <br> Medical expenses are skyrocketing.			
<b>(医療)</b> <br> 医療費が高騰しています。	[sound:s8-3929_医療費が高騰しています。.mp3] <br> いりょうひがこうとうしています。 <br> Medical expenses are skyrocketing.			
[sound:k8-3930_積極.mp3]	積極 <br> せっきょく <br> positive, progressive
positive, progressive	積極 <br> せっきょく <br> [sound:k8-3930_積極.mp3]
積極	[sound:k8-3930_積極.mp3] <br> せっきょく <br> positive, progressive
[sound:s8-3930_彼女は医学部に進学しました。.mp3]	<b>(医学)</b> <br> 彼女は医学部に進学しました。<br> かのじょはいがくぶにしんがくしました。 <br> She entered medical school.			
<b>(医学)</b> <br> 彼女は医学部に進学しました。	[sound:s8-3930_彼女は医学部に進学しました。.mp3] <br> かのじょはいがくぶにしんがくしました。 <br> She entered medical school.			
[sound:k8-3931_極.mp3]	極 <br> ごく <br> quite, very; quindecillion (US), octillion (Europe), 10^48
quite, very; quindecillion (US), octillion (Europe), 10^48	極 <br> ごく <br> [sound:k8-3931_極.mp3]
極	[sound:k8-3931_極.mp3] <br> ごく <br> quite, very; quindecillion (US), octillion (Europe), 10^48
[sound:s8-3931_彼は一流の医師です。.mp3]	<b>(医師)</b> <br> 彼は一流の医師です。<br> かれはいちりゅうのいしです。 <br> He is a first-rate doctor.			
<b>(医師)</b> <br> 彼は一流の医師です。	[sound:s8-3931_彼は一流の医師です。.mp3] <br> かれはいちりゅうのいしです。 <br> He is a first-rate doctor.			
[sound:k8-3932_消極的.mp3]	消極的 <br> しょうきょくてき <br> negative, half-hearted, passive, unmotivated
negative, half-hearted, passive, unmotivated	消極的 <br> しょうきょくてき <br> [sound:k8-3932_消極的.mp3]
消極的	[sound:k8-3932_消極的.mp3] <br> しょうきょくてき <br> negative, half-hearted, passive, unmotivated
[sound:s8-3932_医者にかかる前に症状をよく調べるべきです。.mp3]	<b>(医)</b> <br> 医者にかかる前に症状をよく調べるべきです。<br> いしゃにかかるまえにしょうじょうをよくしらべるべきです。 <br> You should thoroughly examine your symptoms before seeing a doctor.			
<b>(医)</b> <br> 医者にかかる前に症状をよく調べるべきです。	[sound:s8-3932_医者にかかる前に症状をよく調べるべきです。.mp3] <br> いしゃにかかるまえにしょうじょうをよくしらべるべきです。 <br> You should thoroughly examine your symptoms before seeing a doctor.			
[sound:k8-3933_極端.mp3]	極端 <br> きょくたん <br> extreme, extremity
extreme, extremity	極端 <br> きょくたん <br> [sound:k8-3933_極端.mp3]
極端	[sound:k8-3933_極端.mp3] <br> きょくたん <br> extreme, extremity
[sound:s8-3933_この薬局では医薬品を販売しています。.mp3]	<b>(医薬品)</b> <br> この薬局では医薬品を販売しています。<br> このやっきょくではいやくひんをはんばいしています。 <br> This pharmacy sells pharmaceuticals.			
<b>(医薬品)</b> <br> この薬局では医薬品を販売しています。	[sound:s8-3933_この薬局では医薬品を販売しています。.mp3] <br> このやっきょくではいやくひんをはんばいしています。 <br> This pharmacy sells pharmaceuticals.			
[sound:k8-3934_極東.mp3]	極東 <br> きょくとう <br> Far East
Far East	極東 <br> きょくとう <br> [sound:k8-3934_極東.mp3]
極東	[sound:k8-3934_極東.mp3] <br> きょくとう <br> Far East
[sound:s8-3934_私の父は医者です。.mp3]	<b>(医者)</b> <br> 私の父は医者です。<br> わたしのちちはいしゃです。 <br> My father is a doctor.			
<b>(医者)</b> <br> 私の父は医者です。	[sound:s8-3934_私の父は医者です。.mp3] <br> わたしのちちはいしゃです。 <br> My father is a doctor.			
[sound:k8-3935_極右.mp3]	極右 <br> きょくう <br> extreme right
extreme right	極右 <br> きょくう <br> [sound:k8-3935_極右.mp3]
極右	[sound:k8-3935_極右.mp3] <br> きょくう <br> extreme right
[sound:s8-3935_彼女は医大の学生です。.mp3]	<b>(医大)</b> <br> 彼女は医大の学生です。<br> かのじょはいだいのがくせいです。 <br> She is a medical school student.			
<b>(医大)</b> <br> 彼女は医大の学生です。	[sound:s8-3935_彼女は医大の学生です。.mp3] <br> かのじょはいだいのがくせいです。 <br> She is a medical school student.			
[sound:k8-3936_南極.mp3]	南極 <br> なんきょく <br> South Pole; the Antarctic, Antarctica
South Pole; the Antarctic, Antarctica	南極 <br> なんきょく <br> [sound:k8-3936_南極.mp3]
南極	[sound:k8-3936_南極.mp3] <br> なんきょく <br> South Pole; the Antarctic, Antarctica
[sound:s8-3936_彼の専門は心臓医科です。.mp3]	<b>(医科)</b> <br> 彼の専門は心臓医科です。<br> かれのせんもんはしんぞういかです。 <br> His specialty is cardiology.			
<b>(医科)</b> <br> 彼の専門は心臓医科です。	[sound:s8-3936_彼の専門は心臓医科です。.mp3] <br> かれのせんもんはしんぞういかです。 <br> His specialty is cardiology.			
[sound:k8-3937_極秘.mp3]	極秘 <br> ごくひ <br> absolute secrecy
absolute secrecy	極秘 <br> ごくひ <br> [sound:k8-3937_極秘.mp3]
極秘	[sound:k8-3937_極秘.mp3] <br> ごくひ <br> absolute secrecy
[sound:s8-3937_私の家の近くには良い医院があります。.mp3]	<b>(医院)</b> <br> 私の家の近くには良い医院があります。<br> わたしのいえのちかくにはよいいいんがあります。 <br> There is a good clinic near my house.			
<b>(医院)</b> <br> 私の家の近くには良い医院があります。	[sound:s8-3937_私の家の近くには良い医院があります。.mp3] <br> わたしのいえのちかくにはよいいいんがあります。 <br> There is a good clinic near my house.			
[sound:k8-3938_究極.mp3]	究極 <br> きゅうきょく <br> ultimate, extreme, final, eventual
ultimate, extreme, final, eventual	究極 <br> きゅうきょく <br> [sound:k8-3938_究極.mp3]
究極	[sound:k8-3938_究極.mp3] <br> きゅうきょく <br> ultimate, extreme, final, eventual
[sound:s8-3938_彼は病院の医局に勤めています。.mp3]	<b>(医局)</b> <br> 彼は病院の医局に勤めています。<br> かれはびょういんのいきょくにつとめています。 <br> He works in the hospital's medical office.			
<b>(医局)</b> <br> 彼は病院の医局に勤めています。	[sound:s8-3938_彼は病院の医局に勤めています。.mp3] <br> かれはびょういんのいきょくにつとめています。 <br> He works in the hospital's medical office.			
[sound:k8-3939_種.mp3]	種 <br> (kun: たね, -ぐさ; on: シュ) <br> species, kind, class, variety, seed
species, kind, class, variety, seed	種 <br> (kun: たね, -ぐさ; on: シュ) <br> [sound:k8-3939_種.mp3]
種	[sound:k8-3939_種.mp3] <br> (kun: たね, -ぐさ; on: シュ) <br> species, kind, class, variety, seed
[sound:s8-3939_彼女は病気から復帰しました。.mp3]	<b>(復)</b> <br> 彼女は病気から復帰しました。<br> かのじょはびょうきからふっきしました。 <br> She has recovered from illness.			
<b>(復)</b> <br> 彼女は病気から復帰しました。	[sound:s8-3939_彼女は病気から復帰しました。.mp3] <br> かのじょはびょうきからふっきしました。 <br> She has recovered from illness.			
[sound:k8-3940_一種.mp3]	一種 <br> いっしゅ, ひとくさ <br> species, kind, variety
species, kind, variety	一種 <br> いっしゅ, ひとくさ <br> [sound:k8-3940_一種.mp3]
一種	[sound:k8-3940_一種.mp3] <br> いっしゅ, ひとくさ <br> species, kind, variety
[sound:s8-3940_彼の健康は回復しています。.mp3]	<b>(回復)</b> <br> 彼の健康は回復しています。<br> かれのけんこうはかいふくしています。 <br> His health is improving.			
<b>(回復)</b> <br> 彼の健康は回復しています。	[sound:s8-3940_彼の健康は回復しています。.mp3] <br> かれのけんこうはかいふくしています。 <br> His health is improving.			
[sound:k8-3941_種類.mp3]	種類 <br> しゅるい <br> variety, kind, type, category; counter for different sorts of things
variety, kind, type, category; counter for different sorts of things	種類 <br> しゅるい <br> [sound:k8-3941_種類.mp3]
種類	[sound:k8-3941_種類.mp3] <br> しゅるい <br> variety, kind, type, category; counter for different sorts of things
[sound:s8-3941_春の訪れとともに自然は復活します。.mp3]	<b>(復活)</b> <br> 春の訪れとともに自然は復活します。<br> はるのおとずれとともにしぜんはふっかつします。 <br> Nature comes back to life with the arrival of spring.			
<b>(復活)</b> <br> 春の訪れとともに自然は復活します。	[sound:s8-3941_春の訪れとともに自然は復活します。.mp3] <br> はるのおとずれとともにしぜんはふっかつします。 <br> Nature comes back to life with the arrival of spring.			
[sound:k8-3942_人種.mp3]	人種 <br> じんしゅ <br> race (of people)
race (of people)	人種 <br> じんしゅ <br> [sound:k8-3942_人種.mp3]
人種	[sound:k8-3942_人種.mp3] <br> じんしゅ <br> race (of people)
[sound:s8-3942_彼はサッカー選手として復帰しました。.mp3]	<b>(復帰)</b> <br> 彼はサッカー選手として復帰しました。<br> かれはさっかーせんしゅとしてふっきしました。 <br> He returned to soccer as a player.			
<b>(復帰)</b> <br> 彼はサッカー選手として復帰しました。	[sound:s8-3942_彼はサッカー選手として復帰しました。.mp3] <br> かれはさっかーせんしゅとしてふっきしました。 <br> He returned to soccer as a player.			
[sound:k8-3943_機種.mp3]	機種 <br> きしゅ <br> type of equipment, model
type of equipment, model	機種 <br> きしゅ <br> [sound:k8-3943_機種.mp3]
機種	[sound:k8-3943_機種.mp3] <br> きしゅ <br> type of equipment, model
[sound:s8-3943_その地域は地震後に復興が進んでいます。.mp3]	<b>(復興)</b> <br> その地域は地震後に復興が進んでいます。<br> そのちいきはじしんごにふっこうがすすんでいます。 <br> The region is making progress in reconstruction after the earthquake.			
<b>(復興)</b> <br> その地域は地震後に復興が進んでいます。	[sound:s8-3943_その地域は地震後に復興が進んでいます。.mp3] <br> そのちいきはじしんごにふっこうがすすんでいます。 <br> The region is making progress in reconstruction after the earthquake.			
[sound:k8-3944_業種.mp3]	業種 <br> ぎょうしゅ <br> type of industry
type of industry	業種 <br> ぎょうしゅ <br> [sound:k8-3944_業種.mp3]
業種	[sound:k8-3944_業種.mp3] <br> ぎょうしゅ <br> type of industry
[sound:s8-3944_往復切符を買いました。.mp3]	<b>(往復)</b> <br> 往復切符を買いました。<br> おうふくきっぷをかいました。 <br> I bought a round-trip ticket.			
<b>(往復)</b> <br> 往復切符を買いました。	[sound:s8-3944_往復切符を買いました。.mp3] <br> おうふくきっぷをかいました。 <br> I bought a round-trip ticket.			
[sound:k8-3945_種目.mp3]	種目 <br> しゅもく <br> event, item of business
event, item of business	種目 <br> しゅもく <br> [sound:k8-3945_種目.mp3]
種目	[sound:k8-3945_種目.mp3] <br> しゅもく <br> event, item of business
[sound:s8-3945_彼は古い車を修復しました。.mp3]	<b>(修復)</b> <br> 彼は古い車を修復しました。<br> かれはふるいくるまをしゅうふくしました。 <br> He restored an old car.			
<b>(修復)</b> <br> 彼は古い車を修復しました。	[sound:s8-3945_彼は古い車を修復しました。.mp3] <br> かれはふるいくるまをしゅうふくしました。 <br> He restored an old car.			
[sound:k8-3946_品種.mp3]	品種 <br> ひんしゅ <br> kind (of goods), brand; (taxonomical) form; breed, cultivar
kind (of goods), brand; (taxonomical) form; breed, cultivar	品種 <br> ひんしゅ <br> [sound:k8-3946_品種.mp3]
品種	[sound:k8-3946_品種.mp3] <br> ひんしゅ <br> kind (of goods), brand; (taxonomical) form; breed, cultivar
[sound:s8-3946_彼の攻撃に対する報復として、彼女は同じことをしました。.mp3]	<b>(報復)</b> <br> 彼の攻撃に対する報復として、彼女は同じことをしました。<br> かれのこうげきにたいするほうふくとして、かのじょはおなじことをしました。 <br> In retaliation for his attack, she did the same thing.			
<b>(報復)</b> <br> 彼の攻撃に対する報復として、彼女は同じことをしました。	[sound:s8-3946_彼の攻撃に対する報復として、彼女は同じことをしました。.mp3] <br> かれのこうげきにたいするほうふくとして、かのじょはおなじことをしました。 <br> In retaliation for his attack, she did the same thing.			
[sound:k8-3947_車種.mp3]	車種 <br> しゃしゅ <br> car make, car model
car make, car model	車種 <br> しゃしゅ <br> [sound:k8-3947_車種.mp3]
車種	[sound:k8-3947_車種.mp3] <br> しゃしゅ <br> car make, car model
[sound:s8-3947_道路は台風後に復旧しました。.mp3]	<b>(復旧)</b> <br> 道路は台風後に復旧しました。<br> どうろはたいふうごにふっきゅうしました。 <br> The road was restored after the typhoon.			
<b>(復旧)</b> <br> 道路は台風後に復旧しました。	[sound:s8-3947_道路は台風後に復旧しました。.mp3] <br> どうろはたいふうごにふっきゅうしました。 <br> The road was restored after the typhoon.			
[sound:k8-3948_種子.mp3]	種子 <br> しゅし <br> seed, pit
seed, pit	種子 <br> しゅし <br> [sound:k8-3948_種子.mp3]
種子	[sound:k8-3948_種子.mp3] <br> しゅし <br> seed, pit
[sound:s8-3948_彼は政界に復権した。.mp3]	<b>(復権)</b> <br> 彼は政界に復権した。<br> かれはせいかいにふっけんした。 <br> He returned to power in the political arena.			
<b>(復権)</b> <br> 彼は政界に復権した。	[sound:s8-3948_彼は政界に復権した。.mp3] <br> かれはせいかいにふっけんした。 <br> He returned to power in the political arena.			
[sound:k8-3949_予防接種.mp3]	予防接種 <br> よぼうせっしゅ <br> immunization, immunisation, vaccination, inoculation
immunization, immunisation, vaccination, inoculation	予防接種 <br> よぼうせっしゅ <br> [sound:k8-3949_予防接種.mp3]
予防接種	[sound:k8-3949_予防接種.mp3] <br> よぼうせっしゅ <br> immunization, immunisation, vaccination, inoculation
[sound:s8-3949_彼はデータを復元しようとしています。.mp3]	<b>(復元)</b> <br> 彼はデータを復元しようとしています。<br> かれはでーたをふくげんしようとしています。 <br> He is trying to recover the data.			
<b>(復元)</b> <br> 彼はデータを復元しようとしています。	[sound:s8-3949_彼はデータを復元しようとしています。.mp3] <br> かれはでーたをふくげんしようとしています。 <br> He is trying to recover the data.			
[sound:k8-3950_美.mp3]	美 <br> (kun: うつく.しい; on: ビ, ミ) <br> beauty, beautiful
beauty, beautiful	美 <br> (kun: うつく.しい; on: ビ, ミ) <br> [sound:k8-3950_美.mp3]
美	[sound:k8-3950_美.mp3] <br> (kun: うつく.しい; on: ビ, ミ) <br> beauty, beautiful
[sound:s8-3950_彼の仕事ぶりは素晴らしいです。.mp3]	<b>(仕)</b> <br> 彼の仕事ぶりは素晴らしいです。<br> かれのしごとぶりはすばらしいです。 <br> His work performance is excellent.			
<b>(仕)</b> <br> 彼の仕事ぶりは素晴らしいです。	[sound:s8-3950_彼の仕事ぶりは素晴らしいです。.mp3] <br> かれのしごとぶりはすばらしいです。 <br> His work performance is excellent.			
[sound:k8-3951_美.mp3]	美 <br> び <br> beauty
beauty	美 <br> び <br> [sound:k8-3951_美.mp3]
美	[sound:k8-3951_美.mp3] <br> び <br> beauty
[sound:s8-3951_彼は銀行で働いています。.mp3]	<b>(仕事)</b> <br> 彼は銀行で働いています。<br> かれはぎんこうではたらいています。 <br> He works at a bank.			
<b>(仕事)</b> <br> 彼は銀行で働いています。	[sound:s8-3951_彼は銀行で働いています。.mp3] <br> かれはぎんこうではたらいています。 <br> He works at a bank.			
[sound:k8-3952_美術.mp3]	美術 <br> びじゅつ <br> art, fine arts
art, fine arts	美術 <br> びじゅつ <br> [sound:k8-3952_美術.mp3]
美術	[sound:k8-3952_美術.mp3] <br> びじゅつ <br> art, fine arts
[sound:s8-3952_この装置の仕組みは複雑です。.mp3]	<b>(仕組み)</b> <br> この装置の仕組みは複雑です。<br> このそうちのしくみはふくざつです。 <br> The mechanism of this device is complex.			
<b>(仕組み)</b> <br> この装置の仕組みは複雑です。	[sound:s8-3952_この装置の仕組みは複雑です。.mp3] <br> このそうちのしくみはふくざつです。 <br> The mechanism of this device is complex.			
[sound:k8-3953_美しい.mp3]	美しい <br> うつくしい <br> beautiful, lovely
beautiful, lovely	美しい <br> うつくしい <br> [sound:k8-3953_美しい.mp3]
美しい	[sound:k8-3953_美しい.mp3] <br> うつくしい <br> beautiful, lovely
[sound:s8-3953_これ以上、どうすることもできません。.mp3]	<b>(仕方)</b> <br> これ以上、どうすることもできません。<br> これいじょう、どうすることもできません。 <br> There's nothing more we can do about it.			
<b>(仕方)</b> <br> これ以上、どうすることもできません。	[sound:s8-3953_これ以上、どうすることもできません。.mp3] <br> これいじょう、どうすることもできません。 <br> There's nothing more we can do about it.			
[sound:k8-3954_美術館.mp3]	美術館 <br> びじゅつかん <br> art gallery, art museum
art gallery, art museum	美術館 <br> びじゅつかん <br> [sound:k8-3954_美術館.mp3]
美術館	[sound:k8-3954_美術館.mp3] <br> びじゅつかん <br> art gallery, art museum
