[sound:s8-0001_早く起きた。.mp3]	<b>(早)</b> <br> 早く起きた。<br> はやくおきた。 <br> I woke up early.			
[sound:s8-6257_未払いの請求がある。.mp3]	<b>(未払い)</b> <br> 未払いの請求がある。<br> みはらいのせいきゅうがある。 <br> There are outstanding bills.			
[sound:s8-6258_事件は未解決のままだ。.mp3]	<b>(未解決)</b> <br> 事件は未解決のままだ。<br> じけんはみかいけつのままだ。 <br> The case remains unsolved.			
[sound:s8-6259_未発表の研究結果がある。.mp3]	<b>(未発表)</b> <br> 未発表の研究結果がある。<br> みはっぴょうのけんきゅうけっかがある。 <br> There are unpublished research results.			
[sound:s8-6260_野球の塁を踏む。.mp3]	<b>(塁)</b> <br> 野球の塁を踏む。<br> やきゅうのるいをふむ。 <br> Step on the baseball base.			
[sound:s8-6261_彼は本塁打を打った。.mp3]	<b>(本塁打)</b> <br> 彼は本塁打を打った。<br> かれはほんるいだをうった。 <br> He hit a home run.			
[sound:s8-6262_三塁にランナーがいます。.mp3]	<b>(三塁)</b> <br> 三塁にランナーがいます。<br> さんるいにらんなーがいます。 <br> There's a runner on third base.			
[sound:s8-6263_二塁手がボールを受け取る。.mp3]	<b>(二塁)</b> <br> 二塁手がボールを受け取る。<br> にるいしゅがぼーるをうけとる。 <br> The second baseman catches the ball.			
[sound:s8-6264_彼は二塁打を打った。.mp3]	<b>(二塁打)</b> <br> 彼は二塁打を打った。<br> かれはにるいだをうった。 <br> He hit a double.			
[sound:s8-6265_満塁ホームランが出た。.mp3]	<b>(満塁)</b> <br> 満塁ホームランが出た。<br> まんるいほーむらんがでた。 <br> A grand slam occurred.			
[sound:s8-6266_一塁にボールが飛んでいる。.mp3]	<b>(一塁)</b> <br> 一塁にボールが飛んでいる。<br> いちるいにぼーるがとんでいる。 <br> The ball is flying to first base.			
[sound:s8-6267_野球の塁を踏む。.mp3]	<b>(塁)</b> <br> 野球の塁を踏む。<br> やきゅうのるいをふむ。 <br> Step on the baseball base.			
[sound:s8-6268_彼は三塁打を打った。.mp3]	<b>(三塁打)</b> <br> 彼は三塁打を打った。<br> かれはさんるいだをうった。 <br> He hit a triple.			
[sound:s8-6269_彼は盗塁を試みた。.mp3]	<b>(盗塁)</b> <br> 彼は盗塁を試みた。<br> かれはとうるいをこころみた。 <br> He attempted to steal a base.			
[sound:s8-6270_本塁にボールが投げられる。.mp3]	<b>(本塁)</b> <br> 本塁にボールが投げられる。<br> ほんるいにぼーるがなげられる。 <br> The ball is thrown to home plate.			
[sound:s8-6271_貿易が国の経済に影響する。.mp3]	<b>(貿)</b> <br> 貿易が国の経済に影響する。<br> ぼうえきがくにのけいざいにえいきょうする。 <br> Trade affects the economy of a country.			
[sound:s8-6272_国際貿易が拡大している。.mp3]	<b>(貿易)</b> <br> 国際貿易が拡大している。<br> こくさいぼうえきがかくだいしている。 <br> International trade is expanding.			
[sound:s8-6273_保護貿易政策を採用する。.mp3]	<b>(保護貿易)</b> <br> 保護貿易政策を採用する。<br> ほごぼうえきせいさくをさいようする。 <br> Adopt protectionist trade policies.			
[sound:s8-6274_加工貿易を推進する。.mp3]	<b>(加工貿易)</b> <br> 加工貿易を推進する。<br> かこうぼうえきをすいしんする。 <br> Promote processing trade.			
[sound:s8-6275_勘合貿易が盛んだった。.mp3]	<b>(勘合貿易)</b> <br> 勘合貿易が盛んだった。<br> かんごうぼうえきがさかんだった。 <br> Kangxi trade was flourishing.			
[sound:s8-6276_関税貿易一般協定が締結された。.mp3]	<b>(関税貿易一般協定)</b> <br> 関税貿易一般協定が締結された。<br> かんぜいぼうえきいっぱんきょうていがていけつされた。 <br> A general agreement on customs and trade was concluded.			
[sound:s8-6277_交換貿易制度を導入する。.mp3]	<b>(交換貿易制)</b> <br> 交換貿易制度を導入する。<br> こうかんぼうえきせいどをどうにゅうする。 <br> Introduction of the system of exchange trade.			
[sound:s8-6278_国際的貿易問題に取り組む。.mp3]	<b>(国際的貿易)</b> <br> 国際的貿易問題に取り組む。<br> こくさいてきぼうえきもんだいにとりくむ。 <br> Address international trade issues.			
[sound:s8-6279_自由貿易協定を締結する。.mp3]	<b>(自由貿易)</b> <br> 自由貿易協定を締結する。<br> じゆうぼうえききょうていをていけつする。 <br> Sign a free trade agreement.			
[sound:s8-6280_自由貿易帯域を拡大する。.mp3]	<b>(自由貿易帯域)</b> <br> 自由貿易帯域を拡大する。<br> じゆうぼうえきたいいきをかくだいする。 <br> Expand free trade areas.			
[sound:s8-6281_自由貿易地域を形成する。.mp3]	<b>(自由貿易地域)</b> <br> 自由貿易地域を形成する。<br> じゆうぼうえきちいきをけいせいする。 <br> Form free trade zones.			
[sound:s8-6282_講義を受ける。.mp3]	<b>(講)</b> <br> 講義を受ける。<br> こうぎをうける。 <br> Attend a lecture.			
[sound:s8-6283_講演会が開催される。.mp3]	<b>(講演)</b> <br> 講演会が開催される。<br> こうえんかいがかいさいされる。 <br> A lecture will be held.			
[sound:s8-6284_講師として招かれる。.mp3]	<b>(講師)</b> <br> 講師として招かれる。<br> こうしてとしてまねかれる。 <br> Invited as a lecturer.			
[sound:s8-6285_講座に参加する。.mp3]	<b>(講座)</b> <br> 講座に参加する。<br> こうざにさんかする。 <br> Participate in a course.			
[sound:s8-6286_講義を聴講する。.mp3]	<b>(講義)</b> <br> 講義を聴講する。<br> こうぎをちょうこうする。 <br> Listen to a lecture.			
[sound:s8-6287_講座に受講する。.mp3]	<b>(受講)</b> <br> 講座に受講する。<br> こうざにじゅこうする。 <br> Enroll in a course.			
[sound:s8-6288_講習会に参加する。.mp3]	<b>(講習)</b> <br> 講習会に参加する。<br> こうしゅうかいにさんかする。 <br> Participate in a training session.			
[sound:s8-6289_講堂で式が行われた。.mp3]	<b>(講堂)</b> <br> 講堂で式が行われた。<br> こうどうでしきがおこなわれた。 <br> A ceremony was held in the auditorium.			
[sound:s8-6290_彼は講ずるに足りる。.mp3]	<b>(講ずる)</b> <br> 彼は講ずるに足りる。<br> かれはこうずるにたる。 <br> He is worthy of preaching.			
[sound:s8-6291_講談師が物語を語る。.mp3]	<b>(講談)</b> <br> 講談師が物語を語る。<br> こうだんしにものがたりをかたる。 <br> A storyteller tells a tale.			
[sound:s8-6292_両国間で講和協定を結ぶ。.mp3]	<b>(講和)</b> <br> 両国間で講和協定を結ぶ。<br> りょうこくかんでこうわきょうていをむすぶ。 <br> Sign a peace agreement between the two countries.			
[sound:s8-6293_日本国邦楽協会に入会する。.mp3]	<b>(邦)</b> <br> 日本国邦楽協会に入会する。<br> にほんこくほうがくきょうかいににゅうかいする。 <br> Join the Japanese Traditional Music Association.			
[sound:s8-6294_アメリカ合衆国は連邦制を採用している。.mp3]	<b>(連邦)</b> <br> アメリカ合衆国は連邦制を採用している。<br> あめりかがっしゅうこくはれんぽうせいをさいようしている。 <br> The United States of America adopts a federal system.			
[sound:s8-6295_外国に住む邦人。.mp3]	<b>(邦人)</b> <br> 外国に住む邦人。<br> がいこくにすむほうじん。 <br> Japanese nationals living abroad.			
[sound:s8-6296_邦楽を演奏する。.mp3]	<b>(邦楽)</b> <br> 邦楽を演奏する。<br> ほうがくをえんそうする。 <br> Perform Japanese traditional music.			
[sound:s8-6297_東邦大学に通う。.mp3]	<b>(東邦)</b> <br> 東邦大学に通う。<br> とうほうだいがくにかよう。 <br> Attend Tohoku University.			
[sound:s8-6298_邦画の映画館で映画を見る。.mp3]	<b>(邦画)</b> <br> 邦画の映画館で映画を見る。<br> ほうがのえいがかんでえいがをみる。 <br> Watch a movie at a Japanese film theater.			
[sound:s8-6299_その小説は邦訳されている。.mp3]	<b>(邦訳)</b> <br> その小説は邦訳されている。<br> そのしょうせつはほうやくされている。 <br> That novel has been translated into Japanese.			
[sound:s8-6300_本邦のニュースを報道する。.mp3]	<b>(本邦)</b> <br> 本邦のニュースを報道する。<br> ほんぽうのにゅーすをほうどうする。 <br> Report domestic news.			
[sound:s8-6301_異邦人が村にやってきた。.mp3]	<b>(異邦人)</b> <br> 異邦人が村にやってきた。<br> いほうじんがむらにやってきた。 <br> Foreigners came to the village.			
[sound:s8-6302_友邦との友好関係を築く。.mp3]	<b>(友邦)</b> <br> 友邦との友好関係を築く。<br> ゆうほうとのゆうこうかんけいをきずく。 <br> Build friendly relations with friendly nations.			
[sound:s8-6303_日本国邦楽協会に入会する。.mp3]	<b>(邦)</b> <br> 日本国邦楽協会に入会する。<br> にほんこくほうがくきょうかいににゅうかいする。 <br> Join the Japanese Traditional Music Association.			
[sound:s8-6304_彼女は舞台で踊る。.mp3]	<b>(舞)</b> <br> 彼女は舞台で踊る。<br> かのじょはぶたいでおどる。 <br> She dances on stage.			
[sound:s8-6305_彼女は舞台で踊る。.mp3]	<b>(舞)</b> <br> 彼女は舞台で踊る。<br> かのじょはぶたいでおどる。 <br> She dances on stage.			
[sound:s8-6306_舞台裏で役者が待っている。.mp3]	<b>(舞台)</b> <br> 舞台裏で役者が待っている。<br> ぶたいうらでやくしゃがまっている。 <br> Actors are waiting backstage.			
[sound:s8-6307_歌舞伎を観るのが好きだ。.mp3]	<b>(歌舞伎)</b> <br> 歌舞伎を観るのが好きだ。<br> かぶきをみるのがすきだ。 <br> I like watching Kabuki.			
[sound:s8-6308_舞踊教室で踊る。.mp3]	<b>(舞踊)</b> <br> 舞踊教室で踊る。<br> ぶようきょうしつでおどる。 <br> Dance in a dance class.			
[sound:s8-6309_友人を見舞う。.mp3]	<b>(見舞う)</b> <br> 友人を見舞う。<br> ゆうじんをみまう。 <br> Visit a friend.			
[sound:s8-6310_雪が舞う。.mp3]	<b>(舞う)</b> <br> 雪が舞う。<br> ゆきがまう。 <br> The snow is falling.			
[sound:s8-6311_見舞いのメッセージを送る。.mp3]	<b>(見舞い)</b> <br> 見舞いのメッセージを送る。<br> みまいのめっせーじをおくる。 <br> Send a get-well message.			
[sound:s8-6312_舞台裏で役者が待っている。.mp3]	<b>(舞台裏)</b> <br> 舞台裏で役者が待っている。<br> ぶたいうらでやくしゃがまっている。 <br> Actors are waiting backstage.			
[sound:s8-6313_舞踏会に参加する。.mp3]	<b>(舞踏)</b> <br> 舞踏会に参加する。<br> ぶとうかいにさんかする。 <br> Participate in a ball.			
[sound:s8-6314_初舞台の緊張がある。.mp3]	<b>(初舞台)</b> <br> 初舞台の緊張がある。<br> はつぶたいのきんちょうがある。 <br> There's tension on the first stage.			
[sound:s8-6315_林の中を散歩する。.mp3]	<b>(林)</b> <br> 林の中を散歩する。<br> はやしのなかをさんぽする。 <br> Take a walk in the forest.			
[sound:s8-6316_林の木々が美しい。.mp3]	<b>(林)</b> <br> 林の木々が美しい。<br> はやしのきぎがうつくしい。 <br> The trees in the forest are beautiful.			
[sound:s8-6317_森林保護に協力する。.mp3]	<b>(森林)</b> <br> 森林保護に協力する。<br> しんりんほごにきょうりょくする。 <br> Cooperate in forest conservation.			
[sound:s8-6318_農林業が地域経済に貢献する。.mp3]	<b>(農林)</b> <br> 農林業が地域経済に貢献する。<br> のうりんぎょうがちいきけいざいにこうけんする。 <br> Agriculture and forestry contribute to the local economy.			
[sound:s8-6319_山林を探索する。.mp3]	<b>(山林)</b> <br> 山林を探索する。<br> さんりんをたんさくする。 <br> Explore the mountains and forests.			
[sound:s8-6320_林業の仕事が減ってきている。.mp3]	<b>(林業)</b> <br> 林業の仕事が減ってきている。<br> りんぎょうのしごとがへってきている。 <br> Forestry jobs are decreasing.			
[sound:s8-6321_植林計画を実施する。.mp3]	<b>(植林)</b> <br> 植林計画を実施する。<br> しょくりんけいかくをじっしする。 <br> Implement a reforestation plan.			
[sound:s8-6322_雑木林を切り開く。.mp3]	<b>(雑木林)</b> <br> 雑木林を切り開く。<br> ぞうもくりんをきりひらく。 <br> Clear the mixed forest.			
[sound:s8-6323_林野庁の役割を理解する。.mp3]	<b>(林野庁)</b> <br> 林野庁の役割を理解する。<br> りんやちょうのやくわりをりかいする。 <br> Understand the role of the Forestry Agency.			
[sound:s8-6324_林道をドライブする。.mp3]	<b>(林道)</b> <br> 林道をドライブする。<br> りんどうをどらいぶする。 <br> Drive on a forest road.			
[sound:s8-6325_高層ビルが林立している。.mp3]	<b>(林立)</b> <br> 高層ビルが林立している。<br> こうそうびるがりんりつしている。 <br> Tall buildings stand in rows.			
[sound:s8-6326_彼女の服装は素敵だ。.mp3]	<b>(装)</b> <br> 彼女の服装は素敵だ。<br> かのじょのふくそうはすてきだ。 <br> Her outfit is lovely.			
[sound:s8-6327_新しい装置を導入する。.mp3]	<b>(装置)</b> <br> 新しい装置を導入する。<br> あたらしいそうちをどうにゅうする。 <br> Install new equipment.			
[sound:s8-6328_武装解除が進められている。.mp3]	<b>(武装)</b> <br> 武装解除が進められている。<br> ぶそうかいじょがすすめられている。 <br> Disarmament is being promoted.			
[sound:s8-6329_適切な装備が必要だ。.mp3]	<b>(装備)</b> <br> 適切な装備が必要だ。<br> てきせつなそうびがひつようだ。 <br> Appropriate equipment is necessary.			
[sound:s8-6330_衣装を着替える。.mp3]	<b>(衣装)</b> <br> 衣装を着替える。<br> いしょうをきがえる。 <br> Change clothes.			
[sound:s8-6331_正装で会議に出席する。.mp3]	<b>(服装)</b> <br> 正装で会議に出席する。<br> せいそうでかいぎにしゅっせきする。 <br> Attend the meeting in formal attire.			
[sound:s8-6332_装甲車が進軍する。.mp3]	<b>(装甲)</b> <br> 装甲車が進軍する。<br> そうこうしゃがしんぐんする。 <br> Armored vehicles are advancing.			
[sound:s8-6333_部屋をクリスマス装飾する。.mp3]	<b>(装飾)</b> <br> 部屋をクリスマス装飾する。<br> へやをくりすますそうしょくする。 <br> Decorate the room for Christmas.			
[sound:s8-6334_贈り物を包装する。.mp3]	<b>(包装)</b> <br> 贈り物を包装する。<br> おくりものをほうそうする。 <br> Wrap gifts.			
[sound:s8-6335_壁を塗装する。.mp3]	<b>(塗装)</b> <br> 壁を塗装する。<br> かべをとそうする。 <br> Paint the walls.			
[sound:s8-6336_内装リフォームを行う。.mp3]	<b>(内装)</b> <br> 内装リフォームを行う。<br> ないそうりふぉーむをおこなう。 <br> Perform interior remodeling.			
[sound:s8-6337_諸君、これからの計画を話そう。.mp3]	<b>(諸)</b> <br> 諸君、これからの計画を話そう。<br> しょくん、これからのけいかくをはなそう。 <br> Gentlemen, let's talk about the future plans.			
[sound:s8-6338_諸君、これからの計画を話そう。.mp3]	<b>(諸君)</b> <br> 諸君、これからの計画を話そう。<br> しょくん、これからのけいかくをはなそう。 <br> Gentlemen, let's talk about the future plans.			
[sound:s8-6339_諸般の事情を考慮して決定します。.mp3]	<b>(諸般)</b> <br> 諸般の事情を考慮して決定します。<br> しょはんのじじょうをこうりょしてけっていします。 <br> We will make a decision taking various factors into account.			
[sound:s8-6340_諸悪の根源を突き止めなければなりません。.mp3]	<b>(諸悪)</b> <br> 諸悪の根源を突き止めなければなりません。<br> しょあくのこんげんをつきとめなければなりません。 <br> We must identify the root of all evils.			
[sound:s8-6341_諸国の代表者が集まりました。.mp3]	<b>(諸)</b> <br> 諸国の代表者が集まりました。<br> しょこくのだいひょうしゃがあつまりました。 <br> Representatives from various countries gathered.			
[sound:s8-6342_諸々の理由から、計画は延期されました。.mp3]	<b>(諸々)</b> <br> 諸々の理由から、計画は延期されました。<br> もろもろのりゆうから、けいかくはえんきされました。 <br> For various reasons, the plan has been postponed.			
[sound:s8-6343_諸に注意事項を守ってください。.mp3]	<b>(諸に)</b> <br> 諸に注意事項を守ってください。<br> しょにちゅういじこうをまもってください。 <br> Please adhere to the precautionary measures.			
[sound:s8-6344_欧州諸国での貿易が活発化しています。.mp3]	<b>(欧州諸国)</b> <br> 欧州諸国での貿易が活発化しています。<br> おうしゅうしょこくでのぼうえきがかっかしています。 <br> Trade among European countries is becoming more active.			
[sound:s8-6345_欧米諸言語の研究が進んでいます。.mp3]	<b>(欧米諸言語)</b> <br> 欧米諸言語の研究が進んでいます。<br> おうべいしょげんごのけんきゅうがすすんでいます。 <br> Research on European and American languages is progressing.			
[sound:s8-6346_欧米諸国との関係が改善されました。.mp3]	<b>(欧米諸国)</b> <br> 欧米諸国との関係が改善されました。<br> おうべいしょこくとのかんけいがかいぜんされました。 <br> Relations with Western countries have improved.			
[sound:s8-6347_近隣諸国との外交政策を慎重に考える必要があります。.mp3]	<b>(近隣諸国)</b> <br> 近隣諸国との外交政策を慎重に考える必要があります。<br> きんりんしょこくとのがいこうせいさくをしんちょうにかんがえるひつようがあります。 <br> We need to carefully consider our foreign policy towards neighboring countries.			
[sound:s8-6348_夏は暑いですが、海で泳ぐのが楽しいです。.mp3]	<b>(夏)</b> <br> 夏は暑いですが、海で泳ぐのが楽しいです。<br> なつはあついですが、うみでおよぐのがたのしいです。 <br> Summer is hot, but swimming in the sea is fun.			
[sound:s8-6349_夏の夜は星がきれいですね。.mp3]	<b>(夏)</b> <br> 夏の夜は星がきれいですね。<br> なつのよるはほしがきれいですね。 <br> Summer nights have beautiful stars, don't they?			
[sound:s8-6350_夏休みには友達と一緒にキャンプに行きます。.mp3]	<b>(夏休み)</b> <br> 夏休みには友達と一緒にキャンプに行きます。<br> なつやすみにはともだちといっしょにキャンプにいきます。 <br> I will go camping with my friends during summer vacation.			
[sound:s8-6351_今夏は例年よりも暑いですね。.mp3]	<b>(今夏)</b> <br> 今夏は例年よりも暑いですね。<br> こんなつはれいねんよりもあついですね。 <br> This summer is hotter than usual, isn't it?			
[sound:s8-6352_今年は冷夏の傾向が続いています。.mp3]	<b>(冷夏)</b> <br> 今年は冷夏の傾向が続いています。<br> ことしはれいなつのけいこうがつづいています。 <br> This year, the trend of cold summer continues.			
[sound:s8-6353_夏場は特に水分補給を忘れないようにしましょう。.mp3]	<b>(夏場)</b> <br> 夏場は特に水分補給を忘れないようにしましょう。<br> なつばはとくにすいぶんほきゅうをわすれないようにしましょう。 <br> Especially during the summer, let's not forget to hydrate.			
[sound:s8-6354_夏季オリンピックは世界中の注目を集めます。.mp3]	<b>(夏季)</b> <br> 夏季オリンピックは世界中の注目を集めます。<br> なつきおりんぴっくはせかいじゅうのちゅうもくをあつめます。 <br> The Summer Olympics gather attention from around the world.			
[sound:s8-6355_夏場所で相撲の試合を見に行きます。.mp3]	<b>(夏場所)</b> <br> 夏場所で相撲の試合を見に行きます。<br> なつばしょですもうのしあいをみにいきます。 <br> I will go watch sumo matches at the summer tournament.			
[sound:s8-6356_真夏の日差しは強烈です。.mp3]	<b>(真夏)</b> <br> 真夏の日差しは強烈です。<br> まなつのひざしはきょうれつです。 <br> The midsummer sun is intense.			
[sound:s8-6357_初夏の風は心地よいですね。.mp3]	<b>(初夏)</b> <br> 初夏の風は心地よいですね。<br> しょかのかぜはここちよいですね。 <br> The early summer breeze feels pleasant, doesn't it?			
[sound:s8-6358_夏時間が始まると日が長くなります。.mp3]	<b>(夏時間)</b> <br> 夏時間が始まると日が長くなります。<br> なつじかんがはじまるとひがながくなります。 <br> When daylight saving time starts, the days become longer.			
[sound:s8-6359_料理の素材にこだわることが大切です。.mp3]	<b>(素)</b> <br> 料理の素材にこだわることが大切です。<br> りょうりのそざいにこだわることがたいせつです。 <br> It's important to pay attention to the ingredients in cooking.			
[sound:s8-6360_彼の素朴な質問には心打たれます。.mp3]	<b>(素)</b> <br> 彼の素朴な質問には心打たれます。<br> かれのそぼくなしつもんにはこころうたれます。 <br> His simple question touches the heart.			
[sound:s8-6361_この料理は新鮮な素材を使っています。.mp3]	<b>(素材)</b> <br> この料理は新鮮な素材を使っています。<br> このりょうりはしんせんなそざいをつかっています。 <br> This dish uses fresh ingredients.			
[sound:s8-6362_成功の要素は計画と努力です。.mp3]	<b>(要素)</b> <br> 成功の要素は計画と努力です。<br> せいこうのようそはけいかくとどりょくです。 <br> The elements of success are planning and effort.			
[sound:s8-6363_彼女はとても素直な性格です。.mp3]	<b>(素直)</b> <br> 彼女はとても素直な性格です。<br> かのじょはとてもすなおなせいかくです。 <br> She has a very honest personality.			
[sound:s8-6364_炭素は地球上で最も一般的な元素の一つです。.mp3]	<b>(炭素)</b> <br> 炭素は地球上で最も一般的な元素の一つです。<br> たんそはちきゅうじょうでもっともいっぱんてきなげんそのひとつです。 <br> Carbon is one of the most common elements on Earth.			
[sound:s8-6365_酸素は生命の維持に必要な要素です。.mp3]	<b>(酸素)</b> <br> 酸素は生命の維持に必要な要素です。<br> さんそはせいめいのいじにひつようなようそです。 <br> Oxygen is an essential element for sustaining life.			
[sound:s8-6366_彼の暮らし方はとても簡素です。.mp3]	<b>(簡素)</b> <br> 彼の暮らし方はとても簡素です。<br> かれのくらしかたはとてもかんそです。 <br> His way of living is very simple.			
[sound:s8-6367_彼は料理が好きな素人料理人です。.mp3]	<b>(素人)</b> <br> 彼は料理が好きな素人料理人です。<br> かれはりょうりがすきなしろうとりょうりにんです。 <br> He is an amateur chef who loves cooking.			
[sound:s8-6368_窒素は大気中の主要な成分の一つです。.mp3]	<b>(窒素)</b> <br> 窒素は大気中の主要な成分の一つです。<br> ちっそはたいきちゅうのしゅようなせいぶんのひとつです。 <br> Nitrogen is one of the main components of the atmosphere.			
[sound:s8-6369_水素は非常に軽い気体です。.mp3]	<b>(水素)</b> <br> 水素は非常に軽い気体です。<br> すいそはひじょうにかるいきたいです。 <br> Hydrogen is a very light gas.			
[sound:s8-6370_彼の父は数年前に亡くなりました。.mp3]	<b>(亡)</b> <br> 彼の父は数年前に亡くなりました。<br> かれのちちはすうねんまえになくなりました。 <br> His father passed away a few years ago.			
[sound:s8-6371_交通事故で死亡者が出ました。.mp3]	<b>(死亡)</b> <br> 交通事故で死亡者が出ました。<br> こうつうじこでしぼうしゃがでました。 <br> There were fatalities in a traffic accident.			
[sound:s8-6372_政治的な理由で亡命することを余儀なくされた。.mp3]	<b>(亡命)</b> <br> 政治的な理由で亡命することを余儀なくされた。<br> せいじてきなりゆうでぼうめいすることをよぎなくされた。 <br> He was forced to flee the country for political reasons.			
[sound:s8-6373_その地域の死亡率は急速に上昇しています。.mp3]	<b>(死亡率)</b> <br> その地域の死亡率は急速に上昇しています。	そのちいきのしぼうりつはきゅうそくにじょうしょうしています。 <br> The mortality rate in that area is rapidly increasing. <br> 		
[sound:s8-6374_犯人は逃亡しようとしたが、逮捕された。.mp3]	<b>(逃亡)</b> <br> 犯人は逃亡しようとしたが、逮捕された。<br> はんにんはとうぼうしようとしたが、たいほされた。 <br> The criminal tried to flee but was arrested.			
[sound:s8-6375_地震により多くの死亡者が出ました。.mp3]	<b>(死亡者)</b> <br> 地震により多くの死亡者が出ました。<br> じしんによりおおくのしぼうしゃがでました。 <br> Many casualties occurred due to the earthquake.			
[sound:s8-6376_彼女は若くして未亡人となった。.mp3]	<b>(未亡人)</b> <br> 彼女は若くして未亡人となった。<br> かのじょはわかくしてみぼうじんとなった。 <br> She became a widow at a young age.			
[sound:s8-6377_その組織は存亡の危機に瀕している。.mp3]	<b>(存亡)</b> <br> その組織は存亡の危機に瀕している。<br> そのそしきはそんぼうのききにひんしている。 <br> The organization is on the brink of survival or collapse.			
[sound:s8-6378_夜中に亡霊が現れるという噂がある。.mp3]	<b>(亡霊)</b> <br> 夜中に亡霊が現れるという噂がある。<br> よなかにぼうれいがあらわれるといううわさがある。 <br> There's a rumor that ghosts appear at midnight.			
[sound:s8-6379_その文明は数世紀前に滅亡した。.mp3]	<b>(滅亡)</b> <br> その文明は数世紀前に滅亡した。<br> そのぶんめいはすうせいきまえにめつぼうした。 <br> That civilization perished several centuries ago.			
[sound:s8-6380_彼女は亡父のことを今も懐かしく思っている。.mp3]	<b>(亡父)</b> <br> 彼女は亡父のことを今も懐かしく思っている。<br> かのじょはぼうふのことをいまもなつかしくおもっている。 <br> She still fondly remembers her late father.			
[sound:s8-6381_その劇は感動的な結末で幕を閉じた。.mp3]	<b>(劇)</b> <br> その劇は感動的な結末で幕を閉じた。<br> そのげきはかんどうてきなけつまつでまくをとじた。 <br> The play concluded with a moving finale.			
[sound:s8-6382_彼女は劇中の演技に賞賛されました。.mp3]	<b>(劇)</b> <br> 彼女は劇中の演技に賞賛されました。<br> かのじょはげきちゅうのえんぎにしょうさんされました。 <br> She was praised for her performance in the play.			
[sound:s8-6383_新しい劇場が市内にオープンしました。.mp3]	<b>(劇場)</b> <br> 新しい劇場が市内にオープンしました。<br> あたらしいげきじょうがしないにおーぷんしました。 <br> A new theater has opened in the city.			
[sound:s8-6384_彼は学校の演劇部で活躍しています。.mp3]	<b>(演劇)</b> <br> 彼は学校の演劇部で活躍しています。<br> かれはがっこうのえんげきぶでかつやくしています。 <br> He is active in the school's drama club.			
[sound:s8-6385_その劇団は高い評価を受けています。.mp3]	<b>(劇団)</b> <br> その劇団は高い評価を受けています。<br> そのげきだんはたかいひょうかをうけています。 <br> That theater group has received high praise.			
[sound:s8-6386_彼の人生は悲劇の連続だった。.mp3]	<b>(悲劇)</b> <br> 彼の人生は悲劇の連続だった。<br> かれのじんせいはひげきのれんぞくだった。 <br> His life was a series of tragedies.			
[sound:s8-6387_彼女はオペラの歌劇が大好きです。.mp3]	<b>(歌劇)</b> <br> 彼女はオペラの歌劇が大好きです。<br> かのじょはオペラのかげきがだいすきです。 <br> She loves opera.			
[sound:s8-6388_その喜劇は観客を笑わせました。.mp3]	<b>(喜劇)</b> <br> その喜劇は観客を笑わせました。<br> そのきげきはかんきゃくをわらわせました。 <br> The comedy made the audience laugh.			
[sound:s8-6389_彼の登場は劇的なものだった。.mp3]	<b>(劇的)</b> <br> 彼の登場は劇的なものだった。<br> かれのとうじょうはげきてきなものだった。 <br> His appearance was dramatic.			
[sound:s8-6390_日本の時代劇は歴史的な要素を含んでいます。.mp3]	<b>(時代劇)</b> <br> 日本の時代劇は歴史的な要素を含んでいます。<br> にほんのじだいげきはれきしてきなようそをふくんでいます。 <br> Japanese historical dramas include historical elements.			
[sound:s8-6391_彼は優れた劇作家です。.mp3]	<b>(劇作)</b> <br> 彼は優れた劇作家です。<br> かれはすぐれたげきさっかです。 <br> He is an excellent playwright.			
[sound:s8-6392_その川の水は澄んでいます。.mp3]	<b>(河)</b> <br> その川の水は澄んでいます。<br> そのかわのみずはすんでいます。 <br> The water in that river is clear.			
[sound:s8-6393_川の流れを眺めるのが好きです。.mp3]	<b>(河)</b> <br> 川の流れを眺めるのが好きです。<br> かわのながれをながめるのがすきです。 <br> I like watching the flow of the river.			
[sound:s8-6394_河川の氾濫が被害をもたらしました。.mp3]	<b>(河川)</b> <br> 河川の氾濫が被害をもたらしました。<br> かせんのはんらんがひがいをもたらしました。 <br> The flooding of the river caused damage.			
[sound:s8-6395_この地域は美しい河口を持っています。.mp3]	<b>(河口)</b> <br> この地域は美しい河口を持っています。<br> このちいきはうつくしいかこうをもっています。 <br> This area has a beautiful river mouth.			
[sound:s8-6396_大河ドラマが人気です。.mp3]	<b>(大河)</b> <br> 大河ドラマが人気です。<br> たいがドラマがにんきです。 <br> Historical drama series are popular.			
[sound:s8-6397_川の河原でピクニックを楽しんだ。.mp3]	<b>(河原)</b> <br> 川の河原でピクニックを楽しんだ。<br> かわのかわらでピクニックをたのしんだ。 <br> We enjoyed a picnic by the riverbank.			
[sound:s8-6398_星がたくさん見える美しい銀河です。.mp3]	<b>(銀河)</b> <br> 星がたくさん見える美しい銀河です。<br> ほしがたくさんみえるうつくしいぎんがです。 <br> It's a beautiful galaxy with many stars visible.			
[sound:s8-6399_河川敷でバーベキューをしましょう。.mp3]	<b>(河川敷)</b> <br> 河川敷でバーベキューをしましょう。<br> かせんしきでバーベキューをしましょう。 <br> Let's have a barbecue on the riverbank.			
[sound:s8-6400_この街は古い運河が特徴です。.mp3]	<b>(運河)</b> <br> この街は古い運河が特徴です。	このまちはふるいうんががとくちょうです。 <br> This city is characterized by its old canals. <br> 		
